id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,BRAND,MODEL
MCO506559274,MCO,Juego De Cubiertos 24 Piezas Acero Rombos Schaffhausen,179900,,COP,500,100,buy_it_now,gold_special,2039-03-09T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-506559274-juego-de-cubiertos-24-piezas-acero-rombos-schaffhausen-_JM,http://http2.mlstatic.com/D_643336-MCO29762159615_032019-I.jpg,643336-MCO29762159615_032019,True,279900,MCO441432,737,MCO-KITCHEN_SUPPLIES,,50,True,,,,,,415203317,,,False,False,,MCO506559274,"[{'id': '68bac8a4-a180-4704-8436-c574cada1eb0', 'type': 'standard', 'amount': 179900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-12-28T18:21:30Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '21', 'type': 'promotion', 'amount': 179900, 'regular_amount': 279900, 'currency_id': 'COP', 'last_updated': '2021-12-13T15:27:23Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,4997.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,True,me2,"['self_service_out', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,3,Nuevo,4,0,0,1,,
MCO805256503,MCO,Cuchillo Jamonero 12 Blanco Profesional Carnicero,21630,,COP,1,5,buy_it_now,gold_pro,2041-09-02T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-805256503-cuchillo-jamonero-12-blanco-profesional-carnicero-_JM,http://http2.mlstatic.com/D_737208-MCO47460103584_092021-O.jpg,737208-MCO47460103584_092021,True,23900,MCO116374,,MCO-KITCHEN_KNIVES,,49,False,,,,,,471651488,,,False,False,,MCO805256503,"[{'id': '7', 'type': 'standard', 'amount': 23900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-27T02:39:39Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '25', 'type': 'promotion', 'amount': 20315, 'regular_amount': 23900, 'currency_id': 'COP', 'last_updated': '2022-02-13T22:12:39Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-13T22:11:38Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4175004', 'promotion_id': 'MCO805256503-2fae8384-e635-400f-8dab-468e3f4cdb70', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 1315, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 21630}}]",{'display_currency': 'COP'},[],[],[],12,1802.5,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Antioquia,Medellín,,,5,Nuevo,5,0,1,1,Excalibur,A151-HK-12
MCO448707383,MCO,Taza Jarra Plastica Medidora 1 Litro Classic Press,18471,,COP,1,100,buy_it_now,gold_pro,2040-08-14T13:12:18.000Z,new,https://articulo.mercadolibre.com.co/MCO-448707383-taza-jarra-plastica-medidora-1-litro-classic-press-_JM,http://http2.mlstatic.com/D_917409-MCO44718443813_012021-I.jpg,917409-MCO44718443813_012021,True,20990,MCO441436,246,MCO-DRINK_PITCHERS,,48,True,,,,,,198206292,,,False,False,,MCO448707383,"[{'id': '133', 'type': 'standard', 'amount': 20990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-11T15:38:49Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '164', 'type': 'promotion', 'amount': 18471, 'regular_amount': 20990, 'currency_id': 'COP', 'last_updated': '2022-02-14T13:15:04Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-14T05:00:00Z', 'end_time': '2022-02-21T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1614516-MCO448707383', 'promotion_type': 'custom'}}, {'id': '165', 'type': 'promotion', 'amount': 17421, 'regular_amount': 20990, 'currency_id': 'COP', 'last_updated': '2022-02-14T13:15:04Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2022-02-14T05:00:00Z', 'end_time': '2022-02-21T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1614516-MCO448707383', 'promotion_type': 'custom'}}, {'id': '166', 'type': 'promotion', 'amount': 17421, 'regular_amount': 20990, 'currency_id': 'COP', 'last_updated': '2022-02-14T13:15:04Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2022-02-14T05:00:00Z', 'end_time': '2022-02-21T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1614516-MCO448707383', 'promotion_type': 'custom'}}, {'id': '167', 'type': 'promotion', 'amount': 17421, 'regular_amount': 20990, 'currency_id': 'COP', 'last_updated': '2022-02-14T13:15:04Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2022-02-14T05:00:00Z', 'end_time': '2022-02-21T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1614516-MCO448707383', 'promotion_type': 'custom'}}, {'id': '168', 'type': 'promotion', 'amount': 17421, 'regular_amount': 20990, 'currency_id': 'COP', 'last_updated': '2022-02-14T13:15:04Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2022-02-14T05:00:00Z', 'end_time': '2022-02-21T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1614516-MCO448707383', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,1539.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Bogotá D.C.,Engativá,,,5,Nuevo,7,1,1,1,Press,76824
MCO649322593,MCO,Espátulas Plásticas X 5 Repostería Porcelanicrón Multiuso,8960,,COP,1,25,buy_it_now,gold_special,2041-10-15T20:04:40.000Z,new,https://articulo.mercadolibre.com.co/MCO-649322593-espatulas-plasticas-x-5-reposteria-porcelanicron-multiuso-_JM,http://http2.mlstatic.com/D_847552-MCO47449366440_092021-O.jpg,847552-MCO47449366440_092021,True,9900,MCO441728,,MCO-KITCHEN_SHOVELS_AND_SPATULAS,,47,False,,,,,,243425266,,,False,False,,MCO649322593,"[{'id': '2', 'type': 'standard', 'amount': 9900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-20T20:03:00Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '5', 'type': 'promotion', 'amount': 8415, 'regular_amount': 9900, 'currency_id': 'COP', 'last_updated': '2022-02-15T16:44:39Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-15T16:43:38Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4175004', 'promotion_id': 'MCO649322593-05eaf888-2a7a-43a9-8503-39020f003876', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 545, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 8960}}]",{'display_currency': 'COP'},[],[],[],36,248.89,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Bogotá D.C.,Suba,,,3,Nuevo,7,1,1,1,BP,
MCO630946105,MCO,Mug Pocillo Homero Esta Taza Ya Tiene Dueño The Simpsons,17955,,COP,50,50,buy_it_now,gold_pro,2041-05-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-630946105-mug-pocillo-homero-esta-taza-ya-tiene-dueno-the-simpsons-_JM,http://http2.mlstatic.com/D_811595-MCO46267535758_062021-I.jpg,811595-MCO46267535758_062021,True,18900,MCO166167,,MCO-MUGS,,46,True,,,,,,291088293,,,False,False,,MCO630946105,"[{'id': '5', 'type': 'standard', 'amount': 18900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-06T00:29:51Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'promotion', 'amount': 17955, 'regular_amount': 18900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:11:02Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '8', 'type': 'promotion', 'amount': 17010, 'regular_amount': 18900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:11:02Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '9', 'type': 'promotion', 'amount': 17010, 'regular_amount': 18900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:11:02Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '10', 'type': 'promotion', 'amount': 17010, 'regular_amount': 18900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:11:02Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '11', 'type': 'promotion', 'amount': 17010, 'regular_amount': 18900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:11:02Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1496.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ1JBRjkyNTA2,Rafael Uribe Uribe,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Rafael Uribe Uribe,,,4,Nuevo,4,0,0,1,,Los Simpson No toque Mi Taza
MCO586542564,MCO,Mug Wolrd Best Boss Michael Scott The Office,22161,,COP,500,50,buy_it_now,gold_pro,2040-09-29T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-586542564-mug-wolrd-best-boss-michael-scott-the-office-_JM,http://http2.mlstatic.com/D_740831-MCO48322451259_112021-I.jpg,740831-MCO48322451259_112021,True,24900,MCO166167,,MCO-MUGS,,45,True,,,,,,164028963,,,False,False,,MCO586542564,"[{'id': '68142c79-0985-4f36-b2bc-c4c4b106a0d9', 'type': 'standard', 'amount': 24900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-04T13:43:17Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '1', 'type': 'promotion', 'amount': 21165, 'regular_amount': 24900, 'currency_id': 'COP', 'last_updated': '2022-02-04T17:30:40Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-04T17:29:39Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4175004', 'promotion_id': 'MCO586542564-13808cb4-4537-42d7-9fed-6bcf162c56b9', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 996, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 22161}}]",{'display_currency': 'COP'},[],[],[],12,1846.75,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Suba,,,6,Nuevo,4,0,0,1,,92700
MCO506646357,MCO,Juego Cubiertos 24 Piezas Acero Schaffhausen Oro Rosa ,179900,,COP,500,250,buy_it_now,gold_special,2039-03-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-506646357-juego-cubiertos-24-piezas-acero-schaffhausen-oro-rosa-_JM,http://http2.mlstatic.com/D_679729-MCO29762209634_032019-I.jpg,679729-MCO29762209634_032019,True,299900,MCO441432,737,MCO-KITCHEN_SUPPLIES,,44,True,,,,,,415203317,,,False,False,,MCO506646357,"[{'id': '0e1ea6b6-05b8-4316-8be1-988efebacf3d', 'type': 'standard', 'amount': 189900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-12-28T18:19:59Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '26', 'type': 'promotion', 'amount': 179900, 'regular_amount': 299900, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:09Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,4997.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,3,Nuevo,5,0,1,1,Schaffhausen,LISO
MCO597504591,MCO,Mug Pocillo Mágico Star Wars Baby Yoda,20805,,COP,500,100,buy_it_now,gold_pro,2040-12-01T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-597504591-mug-pocillo-magico-star-wars-baby-yoda-_JM,http://http2.mlstatic.com/D_896112-MCO46206350023_052021-O.jpg,896112-MCO46206350023_052021,True,21900,MCO166167,,MCO-MUGS,,43,False,,,,,,291088293,,,False,False,,MCO597504591,"[{'id': '12', 'type': 'standard', 'amount': 21900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-06T01:43:09Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '14', 'type': 'promotion', 'amount': 20805, 'regular_amount': 21900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:12:01Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '15', 'type': 'promotion', 'amount': 19710, 'regular_amount': 21900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:12:01Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '16', 'type': 'promotion', 'amount': 19710, 'regular_amount': 21900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:12:01Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '17', 'type': 'promotion', 'amount': 19710, 'regular_amount': 21900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:12:01Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '18', 'type': 'promotion', 'amount': 19710, 'regular_amount': 21900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:12:01Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1733.75,0,COP,CO-DC,Bogotá D.C.,TUNPQ1JBRjkyNTA2,Rafael Uribe Uribe,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Rafael Uribe Uribe,,,4,Nuevo,4,0,0,1,,Mandalorian Baby Yoda Mágico
MCO543317384,MCO,Juego De Cubiertos Asado Churrasco Tramontina 12 Piezas,78840,,COP,1,200,buy_it_now,gold_special,2040-01-11T19:03:13.000Z,new,https://articulo.mercadolibre.com.co/MCO-543317384-juego-de-cubiertos-asado-churrasco-tramontina-12-piezas-_JM,http://http2.mlstatic.com/D_775909-MCO46172895081_052021-I.jpg,775909-MCO46172895081_052021,True,87600,MCO441432,,MCO-KITCHEN_SUPPLIES,,42,True,,,,,,155418681,,,False,False,,MCO543317384,"[{'id': '2', 'type': 'standard', 'amount': 87600, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-26T19:13:03Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'promotion', 'amount': 78840, 'regular_amount': 87600, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:04Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2190.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0tFTjQyODYy,Kennedy,True,me2,"['fulfillment', 'self_service_in', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Kennedy,,,5,Nuevo,6,0,1,1,Tramontina,22399/030
MCO598138376,MCO,Bowl Para Frutas Tazon Para Mezclar Grande Reposteria Cocina,22705,,COP,1,25,buy_it_now,gold_pro,2040-12-06T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-598138376-bowl-para-frutas-tazon-para-mezclar-grande-reposteria-cocina-_JM,http://http2.mlstatic.com/D_736879-MCO44309893608_122020-I.jpg,736879-MCO44309893608_122020,True,23900,MCO441427,,MCO-KITCHEN_BOWLS,,41,True,,,,,,535010463,,,False,False,,MCO598138376,"[{'id': '5', 'type': 'standard', 'amount': 23900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-04T23:33:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '38', 'type': 'promotion', 'amount': 22705, 'regular_amount': 23900, 'currency_id': 'COP', 'last_updated': '2022-01-25T20:58:56Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1892.08,0,COP,CO-RIS,Risaralda,TUNPQ1BFUmMwMjJk,Pereira,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Risaralda,Pereira,,,7,Nuevo,7,1,1,1,Rama Design,Tazon
