id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO813563212,MCO,Sleeping Cobertor Para Bebé,58805,,COP,500,5,buy_it_now,gold_pro,2041-09-21T15:19:20.000Z,new,https://articulo.mercadolibre.com.co/MCO-813563212-sleeping-cobertor-para-bebe-_JM,http://http2.mlstatic.com/D_631630-MCO47652699270_092021-O.jpg,631630-MCO47652699270_092021,True,61900,MCO420433,,MCO-BABY_CLOTHING,,50,False,,,,,,653436654,,,False,False,,MCO813563212,"[{'id': '10', 'type': 'standard', 'amount': 61900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-02T14:17:47Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '13', 'type': 'promotion', 'amount': 58805, 'regular_amount': 61900, 'currency_id': 'COP', 'last_updated': '2022-01-31T13:06:31Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '14', 'type': 'promotion', 'amount': 58805, 'regular_amount': 61900, 'currency_id': 'COP', 'last_updated': '2022-01-31T13:06:31Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2022-01-31T13:00:00Z', 'end_time': '2022-02-06T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'INDIVIDUAL-MCO813563212-20220131090630630:MCO813563212', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,4900.42,0,COP,CO-CAS,Casanare,TUNPQ0FHVWE2MDE0,Aguazul,False,me2,[],drop_off,False,,,,,Colombia,Casanare,Aguazul,,,3,INGEART KIDS,Nuevo,2022,6,1,1,1
MCO502754207,MCO,Silla Vibradora Para Bebe Bouncer Safari- Bebesit (mb8024),99900,,COP,1,250,buy_it_now,gold_special,2039-01-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-502754207-silla-vibradora-para-bebe-bouncer-safari-bebesit-mb8024-_JM,http://http2.mlstatic.com/D_606163-MCO43837424379_102020-O.jpg,606163-MCO43837424379_102020,True,237941,MCO71985,,MCO-BABY_BOUNCERS,,49,False,,,,,,230233707,,,False,False,,MCO502754207,"[{'id': '9cf5b011-1370-47b8-bb4a-b5d04a62e7c1', 'type': 'standard', 'amount': 181500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-12-17T18:22:17Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '20', 'type': 'promotion', 'amount': 99900, 'regular_amount': 237941, 'currency_id': 'COP', 'last_updated': '2022-01-27T00:24:32Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2775.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,True,me2,"['fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,4,Bebesit,Nuevo,Safari,6,1,1,1
MCO625259421,MCO,Tapete Alfombra Piso De Foami 38x38 Tatami Bebe 4 Unidades,25555,,COP,1,50,buy_it_now,gold_special,2041-11-13T01:13:34.000Z,new,https://articulo.mercadolibre.com.co/MCO-625259421-tapete-alfombra-piso-de-foami-38x38-tatami-bebe-4-unidades-_JM,http://http2.mlstatic.com/D_957536-MCO46083431564_052021-I.jpg,957536-MCO46083431564_052021,True,26900,MCO420462,,MCO-BABY_SUPPLIES,,48,True,,,,,,535010463,,,False,False,,MCO625259421,"[{'id': '17', 'type': 'standard', 'amount': 26900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-30T06:35:16Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '33', 'type': 'promotion', 'amount': 25555, 'regular_amount': 26900, 'currency_id': 'COP', 'last_updated': '2022-01-25T20:48:14Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,709.86,0,COP,CO-RIS,Risaralda,TUNPQ1BFUmMwMjJk,Pereira,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Risaralda,Pereira,,,5,Go Design,Nuevo,x4,7,1,1,1
MCO624158247,MCO,Pañales Pampers Etapa 6 X 96 Unidades Envio Gratis*,174800,,COP,1,50,buy_it_now,gold_special,2041-05-11T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-624158247-panales-pampers-etapa-6-x-96-unidades-envio-gratis-_JM,http://http2.mlstatic.com/D_932430-MCO46033895966_052021-O.jpg,932430-MCO46033895966_052021,True,184000,MCO179991,,MCO-DISPOSABLE_BABY_DIAPERS,,47,False,,,,,,472791551,,,False,False,,MCO624158247,"[{'id': '18', 'type': 'standard', 'amount': 184000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-04T22:08:31Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '15', 'type': 'standard', 'amount': 160000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-14T20:16:41Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '19', 'type': 'promotion', 'amount': 174800, 'regular_amount': 184000, 'currency_id': 'COP', 'last_updated': '2022-02-04T22:08:54Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,4855.56,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,4,Pampers,Nuevo,,7,1,1,1
MCO815949034,MCO,Silla Carro Bebe Priori Lima ,499380,,COP,1,25,buy_it_now,gold_special,2041-09-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-815949034-silla-carro-bebe-priori-lima-_JM,http://http2.mlstatic.com/D_991492-MCO47849489827_102021-O.jpg,991492-MCO47849489827_102021,True,713400,MCO8814,58,MCO-BABY_CAR_SEATS,MCO18606186,46,False,,,,,,179432356,,,False,False,,MCO815949034,"[{'id': '20', 'type': 'standard', 'amount': 713400, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-09T21:54:48Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '21', 'type': 'promotion', 'amount': 499380, 'regular_amount': 713400, 'currency_id': 'COP', 'last_updated': '2022-02-09T21:57:07Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2020-09-07T18:44:00Z', 'end_time': '2023-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO1815', 'promotion_id': 'MCO1815', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,13871.67,0,COP,CO-CUN,Cundinamarca,TUNPQ0ZVTjMxMDQy,Funza,True,me2,['mandatory_free_shipping'],cross_docking,False,,,,,Colombia,Cundinamarca,Funza,,,5,Priori,Nuevo,Lima,5,0,0,1
MCO598004324,MCO,Pañaleras Grandes Morrales Termicos Maternos Bebe,52800,,COP,1,100,buy_it_now,gold_special,2040-12-05T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-598004324-panaleras-grandes-morrales-termicos-maternos-bebe-_JM,http://http2.mlstatic.com/D_988388-MCO44297435262_122020-O.jpg,988388-MCO44297435262_122020,True,55000,MCO74368,,MCO-DIAPER_BAGS,,45,False,,,,,,567921503,,,False,False,,MCO598004324,"[{'id': '2', 'type': 'standard', 'amount': 55000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-24T19:58:57Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '4', 'type': 'promotion', 'amount': 52250, 'regular_amount': 55000, 'currency_id': 'COP', 'last_updated': '2022-02-13T07:12:00Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-13T07:11:00Z', 'end_time': '2022-03-01T03:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4258004', 'promotion_id': 'MCO598004324-c3a167cf-c2e8-4beb-a1ad-194d8d21edf3', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 550, 'campaign_discount_percentage': 5, 'campaign_end_date': '2022-03-01T03:00:00Z', 'order_item_price': 52800}}]",{'display_currency': 'COP'},[],[],[],36,1466.67,0,COP,CO-ANT,Antioquia,TUNPQ0xBWjNhYzNl,La Unión,False,me2,[],drop_off,False,,,,,Colombia,Antioquia,La Unión,,,3,Mommybaby,Nuevo,2021,6,1,1,1
MCO499125653,MCO,Juguete Peluche Unicornio Cambia Rostro Feisty Pets Original,49900,,COP,50,250,buy_it_now,gold_special,2038-12-23T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-499125653-juguete-peluche-unicornio-cambia-rostro-feisty-pets-original-_JM,http://http2.mlstatic.com/D_953088-MCO31046682680_062019-O.jpg,953088-MCO31046682680_062019,True,70700,MCO176652,,MCO-STUFFED_TOYS,,44,False,,,,,,137350780,,,False,False,,MCO499125653,"[{'id': '8', 'type': 'standard', 'amount': 49900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-10T19:00:32Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '23', 'type': 'promotion', 'amount': 49900, 'regular_amount': 70700, 'currency_id': 'COP', 'last_updated': '2021-12-13T15:27:38Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,1386.11,0,COP,CO-ATL,Atlantico,TUNPQ0JBUjkzOTg0,Barranquilla,False,me2,[],drop_off,False,,,,,Colombia,Atlantico,Barranquilla,,,3,Feisty Pets,Nuevo,Feisty Pets,6,0,1,1
MCO622890635,MCO,Pijama Con Capota Y Pies Cocodrilo Fisher Price,69930,,COP,50,5,buy_it_now,gold_pro,2041-05-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-622890635-pijama-con-capota-y-pies-cocodrilo-fisher-price-_JM,http://http2.mlstatic.com/D_781234-MCO45978745779_052021-O.jpg,781234-MCO45978745779_052021,True,99900,MCO31419,771,MCO-PAJAMAS,,43,False,,,,,,179284829,,,False,False,,MCO622890635,"[{'id': '2', 'type': 'standard', 'amount': 99900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-01T17:11:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '13', 'type': 'promotion', 'amount': 69930, 'regular_amount': 99900, 'currency_id': 'COP', 'last_updated': '2022-02-07T17:36:54Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,5827.5,0,COP,CO-DC,Bogotá D.C.,TUNPQ0ZPTjcyNzAz,Fontibón,True,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Fontibón,,,3,Fisher Price,Nuevo,FPCP26,6,1,1,1
MCO655293771,MCO,Enfagrow Premium Preescolar Mega Pack X 4950 Gr,255070,,COP,1,25,buy_it_now,gold_special,2041-08-06T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-655293771-enfagrow-premium-preescolar-mega-pack-x-4950-gr-_JM,http://http2.mlstatic.com/D_624453-MCO47135541264_082021-O.jpg,624453-MCO47135541264_082021,True,354264,MCO39965,701,MCO-BABY_FORMULAS,MCO17413877,42,False,,,,,,355230026,,,False,False,,MCO655293771,"[{'id': '1', 'type': 'standard', 'amount': 354264, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-11T19:22:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '16', 'type': 'promotion', 'amount': 255070, 'regular_amount': 354264, 'currency_id': 'COP', 'last_updated': '2022-01-12T15:36:39Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2020-09-07T18:44:00Z', 'end_time': '2023-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO1815', 'promotion_id': 'MCO1815', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,7085.28,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,6,Enfagrow,Nuevo,,6,0,1,1
MCO645474732,MCO,Entrenador Baño Priori Disney,34930,,COP,1,50,buy_it_now,gold_special,2041-07-07T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-645474732-entrenador-bano-priori-disney-_JM,http://http2.mlstatic.com/D_972413-MCO46712539506_072021-O.jpg,972413-MCO46712539506_072021,True,49900,MCO173188,615,MCO-POTTIES,,41,False,,,,,,179432356,,,False,False,,MCO645474732,"[{'id': '1', 'type': 'standard', 'amount': 49900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-07-12T22:27:21Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '23', 'type': 'promotion', 'amount': 34930, 'regular_amount': 49900, 'currency_id': 'COP', 'last_updated': '2022-02-04T18:26:47Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2020-09-07T18:44:00Z', 'end_time': '2023-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO1815', 'promotion_id': 'MCO1815', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,970.28,0,COP,CO-CUN,Cundinamarca,TUNPQ0ZVTjMxMDQy,Funza,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Funza,,,4,Disney,Nuevo,Entrenador,7,1,1,1
