id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,BRAND
MCO656350016,MCO,Ganchos Adhesivos Soporte Colgador Pared Colgadores X 4 Uds.,11730,,COP,1,25,buy_it_now,gold_pro,2041-08-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-656350016-ganchos-adhesivos-soporte-colgador-pared-colgadores-x-4-uds-_JM,http://http2.mlstatic.com/D_666397-MCO47107380824_082021-I.jpg,666397-MCO47107380824_082021,True,13800,MCO172798,,MCO-KEY_RACKS,,50,True,,,,,,654683549,,,False,False,,MCO656350016,"[{'id': '1', 'type': 'standard', 'amount': 13800, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-15T10:45:32Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '8', 'type': 'promotion', 'amount': 11730, 'regular_amount': 13800, 'currency_id': 'COP', 'last_updated': '2022-02-16T20:00:23Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2022-02-04T05:00:00Z', 'end_time': '2022-02-28T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'INDIVIDUAL-MCO656350016-20220204014508458:MCO656350016', 'promotion_type': 'custom'}}, {'id': '9', 'type': 'promotion', 'amount': 11730, 'regular_amount': 13800, 'currency_id': 'COP', 'last_updated': '2022-02-16T20:00:23Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,977.5,0,COP,CO-DC,Bogotá D.C.,TUNPQ0NJVTQ0NjQx,Ciudad Bolivar,False,me2,"['fulfillment', 'self_service_in']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Ciudad Bolivar,,,4,Nuevo,Adhesivo,7,1,1,1,
MCO605884040,MCO, Vinilo Adhesivo  X5 Metros Papel Tapiz Adhesivo 70cms Ancho,93955,,COP,1,25,buy_it_now,gold_pro,2041-01-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-605884040-vinilo-adhesivo-x5-metros-papel-tapiz-adhesivo-70cms-ancho-_JM,http://http2.mlstatic.com/D_942845-MCO44680561180_012021-O.jpg,942845-MCO44680561180_012021,True,98900,MCO116395,,MCO-DECORATIVE_VINYLS,,49,False,,,,,,148124135,,,False,False,,MCO605884040,"[{'id': '1', 'type': 'standard', 'amount': 98900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-02-04T21:28:22Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '24', 'type': 'promotion', 'amount': 93955, 'regular_amount': 98900, 'currency_id': 'COP', 'last_updated': '2022-02-09T13:30:16Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,7829.58,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['self_service_out', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,4,Nuevo,Tapiz adhesivo pared,5,0,1,1,3dwall
MCO462882187,MCO,Cuadro Triptico 90x50cm Darth Yoda Star Wars,93361,,COP,1,200,buy_it_now,gold_special,2040-11-25T05:03:32.000Z,new,https://articulo.mercadolibre.com.co/MCO-462882187-cuadro-triptico-90x50cm-darth-yoda-star-wars-_JM,http://http2.mlstatic.com/D_697216-MCO31107224290_062019-O.jpg,697216-MCO31107224290_062019,True,104900,MCO1635,,MCO-DECORATIVE_PAINTINGS,,48,False,,,,,,228210146,,,False,False,,MCO462882187,"[{'id': '49', 'type': 'standard', 'amount': 104900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-09T16:01:50Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '52', 'type': 'promotion', 'amount': 89165, 'regular_amount': 104900, 'currency_id': 'COP', 'last_updated': '2022-02-04T16:54:42Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-04T16:53:41Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4175004', 'promotion_id': 'MCO462882187-91ce0259-6114-4f10-8bc8-c42899a7ffef', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 4196, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 93361}}]",{'display_currency': 'COP'},[],[],[],36,2593.36,0,COP,CO-CUN,Cundinamarca,TUNPQ0NISTk4OWIx,Chía,True,me2,['mandatory_free_shipping'],cross_docking,False,,,,,Colombia,Cundinamarca,Chía,,,3,Nuevo,Star Wars,5,0,1,1,A Industry
MCO580895564,MCO, Plumas Artificiales Pavo De 3 A 15 Cm 20pcs ,6230,,COP,100,50,buy_it_now,gold_special,2041-08-11T20:27:41.000Z,new,https://articulo.mercadolibre.com.co/MCO-580895564-plumas-artificiales-pavo-de-3-a-15-cm-20pcs-_JM,http://http2.mlstatic.com/D_766599-MCO48342228009_112021-O.jpg,766599-MCO48342228009_112021,True,7000,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,47,False,,,,,,342141108,,,False,False,,MCO580895564,"[{'id': '1', 'type': 'standard', 'amount': 7000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-01T21:23:31Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '2', 'type': 'standard', 'amount': 5000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-01T21:23:31Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '28', 'type': 'promotion', 'amount': 6650, 'regular_amount': 7000, 'currency_id': 'COP', 'last_updated': '2022-02-04T20:37:37Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '29', 'type': 'promotion', 'amount': 5950, 'regular_amount': 7000, 'currency_id': 'COP', 'last_updated': '2022-02-04T20:37:37Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-04T20:36:34Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4175004', 'promotion_id': 'MCO580895564-bceb9540-e3f6-4189-958d-7a359be1ac7c', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 280, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 6230}}]",{'display_currency': 'COP'},[],[],[],36,173.06,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JPUzQwMzcw,Bosa,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Bosa,,,5,Nuevo,,5,0,0,1,Insumos de sol
MCO815994428,MCO,"800 Pétalos De Rosas Artificiales, Decorativos, Citas, Bodas",25947,,COP,1,25,buy_it_now,gold_pro,2041-09-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-815994428-800-petalos-de-rosas-artificiales-decorativos-citas-bodas-_JM,http://http2.mlstatic.com/D_703600-MCO47865633583_102021-O.jpg,703600-MCO47865633583_102021,True,27900,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,46,False,,,,,,627479910,,,False,False,,MCO815994428,"[{'id': '1', 'type': 'standard', 'amount': 27900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-30T16:26:03Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '16', 'type': 'promotion', 'amount': 25947, 'regular_amount': 27900, 'currency_id': 'COP', 'last_updated': '2022-02-15T17:06:18Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2022-02-14T03:32:44Z', 'end_time': '2022-03-01T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'TR-627479910-202202132332493249:MCO815994428', 'promotion_type': 'custom'}}, {'id': '17', 'type': 'promotion', 'amount': 25947, 'regular_amount': 27900, 'currency_id': 'COP', 'last_updated': '2022-02-15T17:06:18Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-15T05:00:00Z', 'end_time': '2022-02-22T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1622691-MCO815994428', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,2162.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjg4OTk3,San Cristobal Sur,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,San Cristobal Sur,,,5,Nuevo,,6,1,1,1,Roy Majestic
MCO588855187,MCO,Canasto Cesta De Seagrass Begônia,56800,,COP,250,25,buy_it_now,gold_special,2040-10-08T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-588855187-canasto-cesta-de-seagrass-begnia-_JM,http://http2.mlstatic.com/D_915146-MCO45484022552_042021-O.jpg,915146-MCO45484022552_042021,True,99900,MCO441319,1228,MCO-DECORATIVE_BASKETS,,45,False,,,,,,544453648,,,False,False,,MCO588855187,"[{'id': '199', 'type': 'standard', 'amount': 115350, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-04T21:18:19Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '234', 'type': 'promotion', 'amount': 57100, 'regular_amount': 99900, 'currency_id': 'COP', 'last_updated': '2022-02-16T15:29:32Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-10-25T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3560', 'promotion_id': 'MCO3560', 'promotion_type': 'campaign'}}, {'id': '235', 'type': 'promotion', 'amount': 56800, 'regular_amount': 99900, 'currency_id': 'COP', 'last_updated': '2022-02-16T15:29:32Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}, {'id': '236', 'type': 'promotion', 'amount': 50000, 'regular_amount': 99900, 'currency_id': 'COP', 'last_updated': '2022-02-16T15:29:32Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-18T05:00:00Z', 'end_time': '2022-02-19T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1630321-MCO588855187', 'promotion_type': 'deal_of_the_day'}}]",{'display_currency': 'COP'},[],[],[],36,1577.78,0,COP,CO-CUN,Cundinamarca,TUNPQ0ZVTjMxMDQy,Funza,False,me2,"['fulfillment', 'fs_threshold_mco_change_jul2021']",fulfillment,False,,,,,Colombia,Cundinamarca,Funza,,,5,Nuevo,,7,1,1,1,Begônia
MCO540955850,MCO,X5 Metros Vinilo Adhesivo  Papel Tapiz Adhesivo 70cms Ancho,91977,,COP,1,50,buy_it_now,gold_special,2040-01-11T19:13:28.000Z,new,https://articulo.mercadolibre.com.co/MCO-540955850-x5-metros-vinilo-adhesivo-papel-tapiz-adhesivo-70cms-ancho-_JM,http://http2.mlstatic.com/D_728858-MCO44835842271_022021-O.jpg,728858-MCO44835842271_022021,True,98900,MCO116395,,MCO-DECORATIVE_VINYLS,,44,False,,,,,,148124135,,,False,False,,MCO540955850,"[{'id': '132f471b-e565-4647-8ce4-c1370ce3898e', 'type': 'standard', 'amount': 98900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-09-09T03:30:15Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '33', 'type': 'promotion', 'amount': 91977, 'regular_amount': 98900, 'currency_id': 'COP', 'last_updated': '2022-02-09T13:29:45Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2554.92,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,4,Nuevo,Piedra adhesiva,5,0,1,1,3dwall
MCO639246248,MCO,Mesa Tabla De Colocar Libros O Portatil Tareas Ajustable,80750,,COP,1,50,buy_it_now,gold_special,2041-06-19T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-639246248-mesa-tabla-de-colocar-libros-o-portatil-tareas-ajustable-_JM,http://http2.mlstatic.com/D_733078-MCO46506706761_062021-O.jpg,733078-MCO46506706761_062021,True,85000,MCO430234,,MCO-READING_STANDS,,43,False,,,,,,586690631,,,False,False,,MCO639246248,"[{'id': '22', 'type': 'standard', 'amount': 85000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-25T12:57:55Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '44', 'type': 'promotion', 'amount': 80750, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2022-01-26T18:09:59Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '45', 'type': 'promotion', 'amount': 76500, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2022-01-26T18:09:59Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '46', 'type': 'promotion', 'amount': 76500, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2022-01-26T18:09:59Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '47', 'type': 'promotion', 'amount': 76500, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2022-01-26T18:09:59Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '48', 'type': 'promotion', 'amount': 76500, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2022-01-26T18:09:59Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,2243.06,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,True,me2,"['fulfillment', 'self_service_in', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Martires,,,1,Nuevo,,6,0,1,1,
MCO579110446,MCO,Letras Alfabeto Magneticas X 90 Piezas Iman Nevera Tablero,17090,,COP,1,250,buy_it_now,gold_pro,2040-08-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-579110446-letras-alfabeto-magneticas-x-90-piezas-iman-nevera-tablero-_JM,http://http2.mlstatic.com/D_928706-MCO43265293869_082020-O.jpg,928706-MCO43265293869_082020,True,17990,MCO378161,,MCO-DECORATIVE_AND_PROMOTIONAL_MAGNETS,,42,False,,,,,,88365754,,,False,False,,MCO579110446,"[{'id': '1', 'type': 'standard', 'amount': 17990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-12T23:20:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '35', 'type': 'promotion', 'amount': 17090, 'regular_amount': 17990, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:38Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '36', 'type': 'promotion', 'amount': 16191, 'regular_amount': 17990, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:38Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '37', 'type': 'promotion', 'amount': 16191, 'regular_amount': 17990, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:38Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '38', 'type': 'promotion', 'amount': 16191, 'regular_amount': 17990, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:38Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '39', 'type': 'promotion', 'amount': 16191, 'regular_amount': 17990, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:38Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1424.17,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,4,Nuevo,,6,1,1,1,Montoy
MCO590638310,MCO,Canastos Canastas Cesto Setx6 Unidades Rattan Begônia Blanco,108400,,COP,150,50,buy_it_now,gold_special,2040-10-16T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-590638310-canastos-canastas-cesto-setx6-unidades-rattan-begnia-blanco-_JM,http://http2.mlstatic.com/D_751847-MCO43825699544_102020-O.jpg,751847-MCO43825699544_102020,True,159900,MCO441319,1228,MCO-DECORATIVE_BASKETS,,41,False,,,,,,544453648,,,False,False,,MCO590638310,"[{'id': '302', 'type': 'standard', 'amount': 404978, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-04T21:18:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '334', 'type': 'promotion', 'amount': 121200, 'regular_amount': 159900, 'currency_id': 'COP', 'last_updated': '2022-02-14T21:00:59Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-10-25T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3560', 'promotion_id': 'MCO3560', 'promotion_type': 'campaign'}}, {'id': '335', 'type': 'promotion', 'amount': 108400, 'regular_amount': 159900, 'currency_id': 'COP', 'last_updated': '2022-02-14T21:00:59Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}, {'id': '336', 'type': 'promotion', 'amount': 112400, 'regular_amount': 159900, 'currency_id': 'COP', 'last_updated': '2022-02-14T21:00:59Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-15T05:00:00Z', 'end_time': '2022-02-16T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1618124-MCO590638310', 'promotion_type': 'deal_of_the_day'}}]",{'display_currency': 'COP'},[],[],[],36,3011.11,0,COP,CO-CUN,Cundinamarca,TUNPQ0ZVTjMxMDQy,Funza,True,me2,"['fulfillment', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Cundinamarca,Funza,,,5,Nuevo,SS-9004L2,7,1,1,1,Begônia
