id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,MODEL
MCO541788865,MCO,Calcio Magnesio Zinc Y Vitamina D 1 - Unidad a $389,38900,,COP,50,500,buy_it_now,gold_special,2039-11-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-541788865-calcio-magnesio-zinc-y-vitamina-d-100-softgels-_JM,http://http2.mlstatic.com/D_916340-MCO43428838592_092020-O.jpg,916340-MCO43428838592_092020,True,,MCO8830,,MCO-SUPPLEMENTS,,50,False,,,,,,144337128,,,False,False,,MCO541788865,"[{'id': '8', 'type': 'standard', 'amount': 38900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-08T14:25:53Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1080.56,0,COP,CO-ANT,Antioquia,TUNPQ0VOVjU5YjYx,Envigado,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Antioquia,Envigado,,,5,Natural Systems,Nuevo,5,0,0,1,
MCO824210926,MCO,Testo Max X60 Caps Promo X2 - Unidad a $39450,78900,,COP,1,150,buy_it_now,gold_pro,2041-10-17T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-824210926-testo-max-x60-caps-promo-x2-_JM,http://http2.mlstatic.com/D_870267-MCO47981938637_102021-O.jpg,870267-MCO47981938637_102021,True,,MCO8830,,MCO-SUPPLEMENTS,,49,False,,,,,,252015094,,,False,False,,MCO824210926,"[{'id': '1', 'type': 'standard', 'amount': 78900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-22T21:08:24Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '3', 'type': 'promotion', 'amount': 74955, 'regular_amount': 78900, 'currency_id': 'COP', 'last_updated': '2021-11-24T14:38:58Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-11-24T05:00:00Z', 'end_time': '2021-12-01T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1152691-MCO824210926', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,6575.0,0,COP,CO-TOL,Tolima,TUNPQ0lCQTI0NzNh,Ibagué,True,me2,['mandatory_free_shipping'],drop_off,False,,,,,Colombia,Tolima,Ibagué,,,5,Xtralife linea blanca,Nuevo,5,0,1,1,
MCO642279131,MCO,Divi-her Baja De Peso 100%,70100,,COP,500,250,buy_it_now,gold_special,2041-06-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-642279131-divi-her-baja-de-peso-100-_JM,http://http2.mlstatic.com/D_925320-MCO47066890104_082021-O.jpg,925320-MCO47066890104_082021,True,,MCO8830,,MCO-SUPPLEMENTS,,48,False,,,,,,697692814,,,False,False,,MCO642279131,"[{'id': '7', 'type': 'standard', 'amount': 70100, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-21T01:22:04Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1947.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,2,lifehumi,Nuevo,6,0,1,1,
MCO514091652,MCO,Collagen Peptides (colageno Hidrolizado) Sports Research,136000,,COP,100,500,buy_it_now,gold_special,2039-05-15T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-514091652-collagen-peptides-colageno-hidrolizado-sports-research-_JM,http://http2.mlstatic.com/D_967554-MCO31354212330_072019-O.jpg,967554-MCO31354212330_072019,True,,MCO5565,,MCO-SUPPLEMENTS,,47,False,,,,,,283381488,,,False,False,,MCO514091652,"[{'id': '3', 'type': 'standard', 'amount': 136000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-03T01:50:31Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,3777.78,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,['mandatory_free_shipping'],xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,6,Sports Research,Nuevo,6,1,1,1,
MCO601951615,MCO,Maca-life Más Divi-her 100% Origin - Unidad a $949,113905,,COP,1,500,buy_it_now,gold_pro,2041-01-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-601951615-maca-life-mas-divi-her-100-origin-unidad-a-832-_JM,http://http2.mlstatic.com/D_979905-MCO45628052034_042021-O.jpg,979905-MCO45628052034_042021,True,119900,MCO8830,,MCO-SUPPLEMENTS,,46,False,,,,,,96291482,,,False,False,,MCO601951615,"[{'id': '61', 'type': 'standard', 'amount': 119900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-17T15:29:05Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '82', 'type': 'promotion', 'amount': 113905, 'regular_amount': 119900, 'currency_id': 'COP', 'last_updated': '2022-02-15T17:40:48Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '83', 'type': 'promotion', 'amount': 104313, 'regular_amount': 119900, 'currency_id': 'COP', 'last_updated': '2022-02-15T17:40:48Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-18T23:00:00Z', 'end_time': '2022-02-19T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1622945-MCO601951615', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,9492.08,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RFVTY1OTk1,Teusaquillo,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Teusaquillo,,,5,Lifehuni,Nuevo,5,0,1,1,
MCO521287679,MCO,Proteína Super Mega Gainer 10lb - Unidad a $109900,109900,,COP,1,500,buy_it_now,gold_special,2039-06-26T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-521287679-proteina-super-mega-gainer-10lb-regalo-_JM,http://http2.mlstatic.com/D_727132-MCO42139714907_062020-I.jpg,727132-MCO42139714907_062020,True,,MCO8830,,MCO-SUPPLEMENTS,,45,True,,,,,,61069776,,,False,False,,MCO521287679,"[{'id': '10', 'type': 'standard', 'amount': 109900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-23T23:26:00Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,3052.78,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,5,GMN NUTRITION,Nuevo,5,0,0,1,
MCO562865784,MCO,Cardio Active + Super Regalo - L a $3233,97000,,COP,50,150,buy_it_now,gold_pro,2040-05-12T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-562865784-cardio-active-super-regalo-_JM,http://http2.mlstatic.com/D_742567-MCO48452366996_122021-O.jpg,742567-MCO48452366996_122021,True,,MCO8830,,MCO-SUPPLEMENTS,,44,False,,,,,,257903523,,,False,False,,MCO562865784,"[{'id': '286', 'type': 'standard', 'amount': 97000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T14:49:05Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '258', 'type': 'promotion', 'amount': 96454, 'regular_amount': 101531, 'currency_id': 'COP', 'last_updated': '2022-01-26T14:07:58Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-26T05:00:00Z', 'end_time': '2022-02-02T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1520472-MCO562865784', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,8083.33,0,COP,CO-SAN,Santander,TUNPQ0JVQzkzMTE4,Bucaramanga,True,me2,['mandatory_free_shipping'],drop_off,False,,,,,Colombia,Santander,Bucaramanga,,,6,Cardio Active Formula Avanzada,Nuevo,4,0,0,1,
MCO561792336,MCO,Vitybell 30 Capsulas - Unidad A $2 - Unidad a $2500,75000,,COP,50,500,buy_it_now,gold_special,2040-05-02T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-561792336-vitybell-30-capsulas-unidad-a-2167-_JM,http://http2.mlstatic.com/D_899102-MCO41716876860_052020-O.jpg,899102-MCO41716876860_052020,True,,MCO8830,,MCO-SUPPLEMENTS,,43,False,,,,,,549690935,,,False,False,,MCO561792336,"[{'id': '2', 'type': 'standard', 'amount': 75000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-17T16:37:14Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,2083.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ0NIQTk2OTI1,Chapinero,True,me2,"['self_service_in', 'fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Chapinero,,,5,PROCAPS,Nuevo,5,0,1,1,
MCO612552011,MCO,Probióticos 120 Billones Cfu Newrhythm 30 Cápsulas,154900,,COP,1,250,buy_it_now,gold_special,2041-07-17T17:21:06.000Z,new,https://articulo.mercadolibre.com.co/MCO-612552011-probioticos-120-billones-cfu-newrhythm-30-capsulas-_JM,http://http2.mlstatic.com/D_994099-MCO45249346390_032021-O.jpg,994099-MCO45249346390_032021,True,,MCO8830,,MCO-SUPPLEMENTS,,42,False,,,,,,61686658,,,False,False,,MCO612552011,"[{'id': '18', 'type': 'standard', 'amount': 154900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-04T19:40:13Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,4302.78,0,COP,CO-DC,Bogotá D.C.,TUNPQ0ZPTjcyNzAz,Fontibón,True,me2,['mandatory_free_shipping'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Fontibón,,,5,NewRhythm,Nuevo,4,0,0,1,
MCO625549104,MCO,Legacy Proscience - L a $106,95000,,COP,1,250,buy_it_now,gold_special,2041-05-15T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-625549104-legacy-proscience-_JM,http://http2.mlstatic.com/D_918008-MCO46927185377_072021-O.jpg,918008-MCO46927185377_072021,True,,MCO8830,,MCO-SUPPLEMENTS,MCO18910888,41,False,,,,,,69969079,,,False,False,,MCO625549104,"[{'id': '29', 'type': 'standard', 'amount': 95000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-11T18:13:42Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,2638.89,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,True,me2,"['fs_threshold_mco_change_jul2021', 'self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,6,Proscience,Nuevo,5,1,0,1,
