id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,BRAND
MCO537047964,MCO,Disfraz Batman Musculos Halloween,120000,,COP,1,50,buy_it_now,gold_pro,2039-10-01T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-537047964-disfraz-batman-musculos-halloween-_JM,http://http2.mlstatic.com/D_859907-MCO47485339012_092021-O.jpg,859907-MCO47485339012_092021,True,,MCO118203,,MCO-COSTUMES,,50,False,,,,,,153470050,,,False,False,,MCO537047964,"[{'id': '2', 'type': 'standard', 'amount': 120000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-31T21:07:00Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,10000.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,1,Nuevo,5,0,1,1,
MCO606623111,MCO,"Banda Cruzada, Cinta Tipo Reina Despedida De Soltera",12500,,COP,1,50,buy_it_now,gold_pro,2041-02-04T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-606623111-banda-cruzada-cinta-tipo-reina-despedida-de-soltera-_JM,http://http2.mlstatic.com/D_775198-MCO44849882468_022021-O.jpg,775198-MCO44849882468_022021,True,,MCO118203,,MCO-COSTUMES,,49,False,,,,,,238506312,,,False,False,,MCO606623111,"[{'id': '21', 'type': 'standard', 'amount': 12500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-17T17:29:07Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '13', 'type': 'promotion', 'amount': 11160, 'regular_amount': 12000, 'currency_id': 'COP', 'last_updated': '2021-07-28T16:40:23Z', 'conditions': {'context_restrictions': [], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-08-02T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '375965-MCO606623111', 'promotion_type': 'custom'}}, {'id': '14', 'type': 'promotion', 'amount': 10560, 'regular_amount': 12000, 'currency_id': 'COP', 'last_updated': '2021-07-28T16:40:23Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-08-02T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '375965-MCO606623111', 'promotion_type': 'custom'}}, {'id': '15', 'type': 'promotion', 'amount': 10560, 'regular_amount': 12000, 'currency_id': 'COP', 'last_updated': '2021-07-28T16:40:23Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-08-02T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '375965-MCO606623111', 'promotion_type': 'custom'}}, {'id': '16', 'type': 'promotion', 'amount': 10560, 'regular_amount': 12000, 'currency_id': 'COP', 'last_updated': '2021-07-28T16:40:23Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-08-02T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '375965-MCO606623111', 'promotion_type': 'custom'}}, {'id': '17', 'type': 'promotion', 'amount': 10560, 'regular_amount': 12000, 'currency_id': 'COP', 'last_updated': '2021-07-28T16:40:23Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2021-07-28T05:00:00Z', 'end_time': '2021-08-02T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '375965-MCO606623111', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,1041.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,2,Nuevo,5,0,1,1,de fiesta con lyly
MCO448716975,MCO,Elabora Tu Sombrero Pirata  Manualidad Disney Artist,9900,,COP,1,25,buy_it_now,gold_special,2037-06-29T23:49:16.000Z,new,https://articulo.mercadolibre.com.co/MCO-448716975-elabora-tu-sombrero-pirata-manualidad-disney-artist-_JM,http://http2.mlstatic.com/D_658011-MCO20448739160_102015-O.jpg,658011-MCO20448739160_102015,True,,MCO118203,,MCO-COSTUMES,,48,False,,,,,,22074232,,,False,False,,MCO448716975,"[{'id': '7', 'type': 'standard', 'amount': 9900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-16T16:25:10Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,275.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RFVTY1OTk1,Teusaquillo,False,me2,[],cross_docking,False,,,,,Colombia,Bogotá D.C.,Teusaquillo,,,2,Nuevo,6,0,1,1,Disney
MCO816003528,MCO,Gorro Sombrero Bruja Disfraz Halloween,8500,,COP,50,5,buy_it_now,gold_pro,2041-09-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-816003528-gorro-sombrero-bruja-disfraz-halloween-_JM,http://http2.mlstatic.com/D_922581-MCO47714965766_092021-O.jpg,922581-MCO47714965766_092021,True,,MCO118203,,MCO-COSTUMES,,47,False,,,,,,153470050,,,False,False,,MCO816003528,"[{'id': '1', 'type': 'standard', 'amount': 8500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-30T18:19:06Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '2', 'type': 'standard', 'amount': 8000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-30T18:19:06Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,708.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,2,Nuevo,5,0,1,1,Genérica
MCO810943938,MCO,Colmillos Dracula Con Sangre Falsa Accesorio Dientes Disfraz,8900,,COP,1,50,buy_it_now,gold_pro,2041-09-15T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-810943938-colmillos-dracula-con-sangre-falsa-accesorio-dientes-disfraz-_JM,http://http2.mlstatic.com/D_636814-MCO47580012616_092021-O.jpg,636814-MCO47580012616_092021,True,,MCO118203,,MCO-COSTUMES,,46,False,,,,,,687395989,,,False,False,,MCO810943938,"[{'id': '2', 'type': 'standard', 'amount': 8900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-21T03:20:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,741.67,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,False,me2,[],xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,2,Nuevo,5,0,1,1,Generico
MCO817688039,MCO,Juego Del Calamar - Disfraz // Identico A La Serie //,129900,,COP,1,150,buy_it_now,gold_special,2041-10-01T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-817688039-juego-del-calamar-disfraz-identico-a-la-serie--_JM,http://http2.mlstatic.com/D_675611-MCO47773263506_102021-O.jpg,675611-MCO47773263506_102021,True,,MCO118203,,MCO-COSTUMES,,45,False,,,,,,611050944,,,False,False,,MCO817688039,"[{'id': '1', 'type': 'standard', 'amount': 129900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-06T08:16:06Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '2', 'type': 'promotion', 'amount': 123405, 'regular_amount': 129900, 'currency_id': 'COP', 'last_updated': '2021-10-14T07:04:18Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-10-18T23:00:00Z', 'end_time': '2021-10-19T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '808807-MCO817688039', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,3608.33,0,COP,CO-SAN,Santander,TUNPQ0JVQzkzMTE4,Bucaramanga,True,me2,['mandatory_free_shipping'],drop_off,False,,,,,Colombia,Santander,Bucaramanga,,,2,Nuevo,5,0,1,1,Brujilda
MCO537677519,MCO,Diadema De Flores Catrina Disfraz Frida Roja ,22500,,COP,1,100,buy_it_now,gold_special,2041-09-15T19:13:04.000Z,new,https://articulo.mercadolibre.com.co/MCO-537677519-diadema-de-flores-catrina-disfraz-frida-roja-_JM,http://http2.mlstatic.com/D_771770-MCO44260724300_122020-O.jpg,771770-MCO44260724300_122020,True,,MCO118203,,MCO-COSTUMES,,44,False,,,,,,238506312,,,False,False,,MCO537677519,"[{'id': '6', 'type': 'standard', 'amount': 22500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-03T18:53:04Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '1', 'type': 'promotion', 'amount': 19000, 'regular_amount': 20000, 'currency_id': 'COP', 'last_updated': '2021-07-13T22:59:40Z', 'conditions': {'context_restrictions': [], 'start_time': '2021-07-13T05:00:00Z', 'end_time': '2021-07-20T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '314902-MCO537677519', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,625.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,2,Nuevo,5,0,1,1,de fiesta con lyly
MCO524750451,MCO,Sombrero Chino Bambu Tejido A Mano Fiesta China Oriental,14999,,COP,500,25,buy_it_now,gold_pro,2039-07-14T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-524750451-sombrero-chino-bambu-tejido-a-mano-fiesta-china-oriental-_JM,http://http2.mlstatic.com/D_900502-MCO31493597430_072019-O.jpg,900502-MCO31493597430_072019,True,,MCO118203,,MCO-COSTUMES,,43,False,,,,,,327773559,,,False,False,,MCO524750451,"[{'id': '1', 'type': 'standard', 'amount': 14999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-15T16:36:41Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,1249.92,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,2,Nuevo,5,0,1,1,Gorro
MCO605585549,MCO,"Lentes Sharingan, Naruto, Anime, Cosplay, Dizfraz, Pupilente",41900,,COP,1,100,buy_it_now,gold_pro,2041-02-28T18:44:04.000Z,new,https://articulo.mercadolibre.com.co/MCO-605585549-lentes-sharingan-naruto-anime-cosplay-dizfraz-pupilente-_JM,http://http2.mlstatic.com/D_884238-MCO44793515767_022021-O.jpg,884238-MCO44793515767_022021,True,,MCO118203,,MCO-COSTUMES,,42,False,,,,,,339404762,,,False,False,,MCO605585549,"[{'id': '11', 'type': 'standard', 'amount': 41900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-16T01:02:27Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '12', 'type': 'promotion', 'amount': 39805, 'regular_amount': 41900, 'currency_id': 'COP', 'last_updated': '2021-10-16T16:15:51Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-10-20T17:00:00Z', 'end_time': '2021-10-20T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '831192-MCO605585549', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,3491.67,0,COP,CO-SAN,Santander,TUNPQ1NPQ2RlODFi,Socorro,False,me2,[],drop_off,False,,,,,Colombia,Santander,Socorro,,,2,Nuevo,5,0,1,1,Ruedamco
MCO654858801,MCO,Disfraz Astronauta Espacial Nasa Talla Niños Unisex,85000,,COP,200,100,buy_it_now,gold_pro,2041-08-05T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-654858801-disfraz-astronauta-espacial-nasa-talla-ninos-unisex-_JM,http://http2.mlstatic.com/D_757298-MCO47048089132_082021-O.jpg,757298-MCO47048089132_082021,True,,MCO118203,,MCO-COSTUMES,,41,False,,,,,,542982810,,,False,False,,MCO654858801,"[{'id': '7', 'type': 'standard', 'amount': 85000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-28T17:03:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '21', 'type': 'promotion', 'amount': 80750, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2022-01-15T14:55:39Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-16T05:00:00Z', 'end_time': '2022-01-23T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1471757-MCO654858801', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,7083.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ0tFTjQyODYy,Kennedy,True,me2,['mandatory_free_shipping'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Kennedy,,,2,Nuevo,5,0,1,1,SAN LAURENT
