id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,BRAND,MODEL
MCO557880612,MCO,Vestido Corto Juvenil Femenino Marketing Personal 59656,34999,,COP,100,100,buy_it_now,gold_pro,2040-03-26T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-557880612-vestido-corto-juvenil-femenino-marketing-personal-59656-_JM,http://http2.mlstatic.com/D_734441-MCO41992414036_052020-O.jpg,734441-MCO41992414036_052020,True,,MCO157294,1059,MCO-DRESSES,,50,False,,,,,,464944793,,,False,False,,MCO557880612,"[{'id': '9', 'type': 'standard', 'amount': 34999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-03-25T20:07:50Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,2916.58,0,COP,CO-ANT,Antioquia,TUNPQ0xBWjFiMjUx,La Estrella,False,me2,[],cross_docking,False,,,,,Colombia,Antioquia,La Estrella,,,1,Nuevo,5,0,1,1,,
MCO597573051,MCO,Vestido Enterizo Casual Para Mujer Vestido Tipo Short,69500,,COP,1,25,buy_it_now,gold_pro,2040-12-02T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-597573051-vestido-enterizo-casual-para-mujer-vestido-tipo-short-_JM,http://http2.mlstatic.com/D_992164-MCO44248451834_122020-O.jpg,992164-MCO44248451834_122020,True,,MCO157294,,MCO-DRESSES,,49,False,,,,,,132224200,,,False,False,,MCO597573051,"[{'id': 'dc38fd93-d5f5-46ab-9b91-ff63c8d7ab3a', 'type': 'standard', 'amount': 69500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-12-07T04:23:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,5791.67,0,COP,CO-TOL,Tolima,TUNPQ0lCQTI0NzNh,Ibagué,False,me2,[],drop_off,False,,,,,Colombia,Tolima,Ibagué,,,2,Nuevo,5,0,1,1,,
MCO618545882,MCO,Vestido Japonés Uniforme Conjunto Escuela Sexy Cosplay Falda,85700,,COP,1,5,buy_it_now,gold_special,2041-04-18T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-618545882-vestido-japones-uniforme-conjunto-escuela-sexy-cosplay-falda-_JM,http://http2.mlstatic.com/D_966742-MCO48889265993_012022-O.jpg,966742-MCO48889265993_012022,True,,MCO157294,,MCO-DRESSES,,48,False,,,,,,119186750,,,False,False,,MCO618545882,"[{'id': '2', 'type': 'standard', 'amount': 85700, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-15T17:30:45Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '2', 'type': 'standard', 'amount': 79700, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-15T17:30:44Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,2380.56,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,"['fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,2,Nuevo,5,0,1,1,Genérica,
MCO454944921,MCO,Vestido Largo Escotado Juvenil Manga Larga Moda Casual Mujer,49900,,COP,500,50,buy_it_now,gold_special,2040-09-22T02:41:03.000Z,new,https://articulo.mercadolibre.com.co/MCO-454944921-vestido-largo-escotado-juvenil-manga-larga-moda-casual-mujer-_JM,http://http2.mlstatic.com/D_978705-MCO31003093920_062019-O.jpg,978705-MCO31003093920_062019,True,,MCO157294,,MCO-DRESSES,,47,False,,,,,,165680016,,,False,False,,MCO454944921,"[{'id': '4', 'type': 'standard', 'amount': 49900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-10T15:23:19Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1386.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JBUjEyNTcx,Barrios Unidos,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Barrios Unidos,,,3,Nuevo,4,0,0,1,EP Ropa,
MCO499308228,MCO,Vestido Corto  Sensual Para Dama Elegante B.c,85000,,COP,1,5,buy_it_now,gold_pro,2041-10-18T17:12:32.000Z,new,https://articulo.mercadolibre.com.co/MCO-499308228-vestido-corto-sensual-para-dama-elegante-bc-_JM,http://http2.mlstatic.com/D_865309-MCO47978362380_102021-O.jpg,865309-MCO47978362380_102021,True,,MCO157294,,MCO-DRESSES,,46,False,,,,,,295403258,,,False,False,,MCO499308228,"[{'id': '11', 'type': 'standard', 'amount': 85000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-25T19:26:22Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,7083.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,2,Nuevo,5,0,1,1,B.c,
MCO484412902,MCO,Vestido Largo Manga Larga Con Falda Amplia Para Mujer Nuevo,85000,,COP,500,100,buy_it_now,gold_pro,2038-09-06T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-484412902-vestido-largo-manga-larga-con-falda-amplia-para-mujer-nuevo-_JM,http://http2.mlstatic.com/D_934129-MCO45372052634_032021-O.jpg,934129-MCO45372052634_032021,True,,MCO157294,,MCO-DRESSES,,45,False,,,,,,113252919,,,False,False,,MCO484412902,"[{'id': '8', 'type': 'standard', 'amount': 85000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-07-10T00:00:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '1', 'type': 'promotion', 'amount': 80750, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2021-04-14T22:06:42Z', 'conditions': {'context_restrictions': [], 'start_time': '2021-04-14T05:00:00Z', 'end_time': '2021-04-17T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '53584-MCO484412902', 'promotion_type': 'custom'}}, {'id': '2', 'type': 'promotion', 'amount': 76500, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2021-04-14T22:06:42Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2021-04-14T05:00:00Z', 'end_time': '2021-04-17T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '53584-MCO484412902', 'promotion_type': 'custom'}}, {'id': '3', 'type': 'promotion', 'amount': 76500, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2021-04-14T22:06:42Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2021-04-14T05:00:00Z', 'end_time': '2021-04-17T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '53584-MCO484412902', 'promotion_type': 'custom'}}, {'id': '4', 'type': 'promotion', 'amount': 76500, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2021-04-14T22:06:42Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2021-04-14T05:00:00Z', 'end_time': '2021-04-17T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '53584-MCO484412902', 'promotion_type': 'custom'}}, {'id': '5', 'type': 'promotion', 'amount': 76500, 'regular_amount': 85000, 'currency_id': 'COP', 'last_updated': '2021-04-14T22:06:42Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2021-04-14T05:00:00Z', 'end_time': '2021-04-17T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '53584-MCO484412902', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,7083.33,0,COP,CO-ANT,Antioquia,TUNPQ1JJTzNmYmVk,Rionegro,True,me2,"['fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Antioquia,Rionegro,,,2,Nuevo,5,0,1,1,VIA 7,
MCO550509058,MCO,Vestido Falda Corto Dama Mujer Sexy Gotico Steampunk Lolita,147000,,COP,1,5,buy_it_now,gold_special,2040-01-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-550509058-vestido-falda-corto-dama-mujer-sexy-gotico-steampunk-lolita-_JM,http://http2.mlstatic.com/D_830624-MCO48613388165_122021-O.jpg,830624-MCO48613388165_122021,True,,MCO157294,,MCO-DRESSES,,44,False,,,,,,119186750,,,False,False,,MCO550509058,"[{'id': '1', 'type': 'standard', 'amount': 147000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-04T21:18:42Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,4083.33,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,['mandatory_free_shipping'],xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,2,Nuevo,5,0,1,1,,
MCO464252309,MCO,Enterizo Largo Para Mujer Con Encaje Y Escote En La Espalda,85000,,COP,500,25,buy_it_now,gold_pro,2038-02-02T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-464252309-enterizo-largo-para-mujer-con-encaje-y-escote-en-la-espalda-_JM,http://http2.mlstatic.com/D_804769-MCO44824654205_022021-O.jpg,804769-MCO44824654205_022021,True,,MCO157294,,MCO-DRESSES,,43,False,,,,,,113252919,,,False,False,,MCO464252309,"[{'id': '3', 'type': 'standard', 'amount': 85000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-28T23:19:16Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,7083.33,0,COP,CO-ANT,Antioquia,TUNPQ1JJTzNmYmVk,Rionegro,True,me2,"['fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Antioquia,Rionegro,,,2,Nuevo,5,0,1,1,VIA 7 REF 145,
MCO482378647,MCO,Vestido Casual Vestido Mujer Fresco Juvenil ,59000,,COP,1,50,buy_it_now,gold_pro,2038-08-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-482378647-vestido-casual-vestido-mujer-fresco-juvenil-_JM,http://http2.mlstatic.com/D_707141-MCO31111856148_062019-O.jpg,707141-MCO31111856148_062019,True,,MCO157294,,MCO-DRESSES,,42,False,,,,,,132224200,,,False,False,,MCO482378647,"[{'id': '4', 'type': 'standard', 'amount': 59000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-12T04:45:29Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,4916.67,0,COP,CO-TOL,Tolima,TUNPQ0lCQTI0NzNh,Ibagué,False,me2,[],drop_off,False,,,,,Colombia,Tolima,Ibagué,,,2,Nuevo,5,0,1,1,,
MCO613993642,MCO,Vestido Largo Manga Corta Con Falda Amplia Bolsillos Mujer,90000,,COP,500,25,buy_it_now,gold_pro,2041-03-24T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-613993642-vestido-largo-manga-corta-con-falda-amplia-bolsillos-mujer-_JM,http://http2.mlstatic.com/D_759550-MCO45374288938_032021-O.jpg,759550-MCO45374288938_032021,True,,MCO157294,,MCO-DRESSES,,41,False,,,,,,113252919,,,False,False,,MCO613993642,"[{'id': '2', 'type': 'standard', 'amount': 90000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-21T23:09:16Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,7500.0,0,COP,CO-ANT,Antioquia,TUNPQ1JJTzNmYmVk,Rionegro,True,me2,"['fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Antioquia,Rionegro,,,2,Nuevo,5,0,1,1,VIA 7,
