id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,MODEL
MCO640935656,MCO,Juegos De Tenedores Pro Tramontina Original Pack De 36  ,69000,,COP,1,5,buy_it_now,gold_special,2041-06-24T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-640935656-juegos-de-tenedores-pro-tramontina-original-pack-de-36-_JM,http://http2.mlstatic.com/D_662954-MCO46558570266_062021-I.jpg,662954-MCO46558570266_062021,True,,MCO441432,,MCO-KITCHEN_SUPPLIES,,50,True,,,,,,250960604,,,False,False,,MCO640935656,"[{'id': '5', 'type': 'standard', 'amount': 69000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-13T19:54:46Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1916.67,0,COP,CO-ATL,Atlantico,TUNPQ0JBUjkzOTg0,Barranquilla,False,me2,[],drop_off,False,,,,,Colombia,Atlantico,Barranquilla,,,2,Tramontina,Nuevo,5,0,1,1,
MCO595371147,MCO,Juego De Cubiertos Tramontina ,74900,,COP,1,50,buy_it_now,gold_pro,2040-11-14T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-595371147-juego-de-cubiertos-tramontina-_JM,http://http2.mlstatic.com/D_763340-MCO45308813165_032021-O.jpg,763340-MCO45308813165_032021,True,,MCO441433,,MCO-FLATWARE_SETS,MCO12247592,49,False,,,,,,72694044,,,False,False,,MCO595371147,"[{'id': '10', 'type': 'standard', 'amount': 74900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-08T16:16:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,6241.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RFVTY1OTk1,Teusaquillo,True,me2,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Teusaquillo,,,5,Tramontina,Nuevo,7,1,1,1,
MCO505478974,MCO,Set 6 Cubiertos De Bambú Ecológicos Reutilizables,31500,,COP,1,100,buy_it_now,gold_special,2041-06-01T02:21:05.000Z,new,https://articulo.mercadolibre.com.co/MCO-505478974-set-6-cubiertos-de-bambu-ecologicos-reutilizables-_JM,http://http2.mlstatic.com/D_799288-MCO44375487114_122020-O.jpg,799288-MCO44375487114_122020,True,35000,MCO441432,,MCO-KITCHEN_SUPPLIES,,48,False,,,,,,205212616,,,False,False,,MCO505478974,"[{'id': '9', 'type': 'standard', 'amount': 35000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-11T23:30:01Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '10', 'type': 'promotion', 'amount': 31500, 'regular_amount': 35000, 'currency_id': 'COP', 'last_updated': '2022-02-08T14:40:34Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '11', 'type': 'promotion', 'amount': 29750, 'regular_amount': 35000, 'currency_id': 'COP', 'last_updated': '2022-02-08T14:40:34Z', 'conditions': {'context_restrictions': ['buyer_loyalty_3'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '12', 'type': 'promotion', 'amount': 29750, 'regular_amount': 35000, 'currency_id': 'COP', 'last_updated': '2022-02-08T14:40:34Z', 'conditions': {'context_restrictions': ['buyer_loyalty_4'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '13', 'type': 'promotion', 'amount': 29750, 'regular_amount': 35000, 'currency_id': 'COP', 'last_updated': '2022-02-08T14:40:34Z', 'conditions': {'context_restrictions': ['buyer_loyalty_5'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '14', 'type': 'promotion', 'amount': 29750, 'regular_amount': 35000, 'currency_id': 'COP', 'last_updated': '2022-02-08T14:40:34Z', 'conditions': {'context_restrictions': ['buyer_loyalty_6'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,875.0,0,COP,CO-ANT,Antioquia,TUNPQ0VOVjU5YjYx,Envigado,False,me2,[],cross_docking,False,,,,,Colombia,Antioquia,Envigado,,,3,Gypsy Market Co.,Nuevo,5,0,1,1,Set Cubiertos de Bambú
MCO567576134,MCO,Piedra Para Afilar Afilador De Cuchillos Cocina + Chaira 12,47600,,COP,1,150,buy_it_now,gold_special,2041-04-19T11:13:45.000Z,new,https://articulo.mercadolibre.com.co/MCO-567576134-piedra-para-afilar-afilador-de-cuchillos-cocina-chaira-12-_JM,http://http2.mlstatic.com/D_673927-MCO44762315207_012021-O.jpg,673927-MCO44762315207_012021,True,,MCO116374,,MCO-KITCHEN_KNIVES,,47,False,,,,,,471651488,,,False,False,,MCO567576134,"[{'id': '9', 'type': 'standard', 'amount': 47600, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-24T11:14:31Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '22', 'type': 'promotion', 'amount': 45220, 'regular_amount': 47600, 'currency_id': 'COP', 'last_updated': '2022-02-07T20:41:15Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-10T17:00:00Z', 'end_time': '2022-02-10T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1580215-MCO567576134', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,1322.22,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Antioquia,Medellín,,,5,Uyustools,Nuevo,7,1,1,1,CRA12U
MCO578086679,MCO,Juego Cubiertos 24 Piezas En Acero Con Base,93100,,COP,500,50,buy_it_now,gold_pro,2040-08-15T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-578086679-juego-cubiertos-24-piezas-en-acero-con-base-_JM,http://http2.mlstatic.com/D_991777-MCO48321704367_112021-I.jpg,991777-MCO48321704367_112021,True,98000,MCO441432,,MCO-KITCHEN_SUPPLIES,,46,True,,,,,,234566877,,,False,False,,MCO578086679,"[{'id': '9', 'type': 'standard', 'amount': 98000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-23T19:42:26Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '30', 'type': 'promotion', 'amount': 93100, 'regular_amount': 98000, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:04:27Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,7758.33,0,COP,CO-RIS,Risaralda,TUNPQ1BFUmMwMjJk,Pereira,True,me2,"['fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Risaralda,Pereira,,,3,Portal del hogar,Nuevo,5,0,1,1,Cubiertos
MCO591952889,MCO,Juego Cubiertos Tramontina Búzios 24 Piezas Acero Inoxidable,70100,,COP,1,50,buy_it_now,gold_special,2040-10-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-591952889-juego-cubiertos-tramontina-buzios-24-piezas-acero-inoxidable-_JM,http://http2.mlstatic.com/D_937912-MCO43896047711_102020-O.jpg,937912-MCO43896047711_102020,True,,MCO441433,,MCO-FLATWARE_SETS,MCO13190130,45,False,,,,,,155418681,,,False,False,,MCO591952889,"[{'id': '2', 'type': 'standard', 'amount': 70100, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-26T19:21:04Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1947.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ0tFTjQyODYy,Kennedy,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Kennedy,,,5,Tramontina,Nuevo,6,1,1,1,23799
MCO558909371,MCO,Juego De Cubiertos 24 Pcs En Acero Portal Del Hogar ,93100,,COP,50,250,buy_it_now,gold_pro,2040-04-11T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-558909371-juego-de-cubiertos-24-pcs-en-acero-portal-del-hogar-_JM,http://http2.mlstatic.com/D_955491-MCO48321038498_112021-I.jpg,955491-MCO48321038498_112021,True,98000,MCO441432,,MCO-KITCHEN_SUPPLIES,,44,True,,,,,,234566877,,,False,False,,MCO558909371,"[{'id': '14', 'type': 'standard', 'amount': 98000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-23T18:44:56Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '30', 'type': 'promotion', 'amount': 93100, 'regular_amount': 98000, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:32Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,7758.33,0,COP,CO-RIS,Risaralda,TUNPQ1BFUmMwMjJk,Pereira,True,me2,"['fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Risaralda,Pereira,,,5,portal del hogar,Nuevo,5,0,1,1,cubiertos
MCO835951737,MCO,Afilador Cuchillos Acero Mango Antideslizante Pro Envio ¡ya,13800,,COP,1,50,buy_it_now,gold_pro,2041-11-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-835951737-afilador-cuchillos-acero-mango-antideslizante-pro-envio-ya-_JM,http://http2.mlstatic.com/D_787328-MCO48342503293_112021-O.jpg,787328-MCO48342503293_112021,True,,MCO116374,,MCO-KITCHEN_KNIVES,,43,False,,,,,,653137727,,,False,False,,MCO835951737,"[{'id': '7', 'type': 'standard', 'amount': 13800, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-16T17:43:33Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,1150.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ0JPUzQwMzcw,Bosa,False,me2,"['fulfillment', 'self_service_out']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Bosa,,,5,gongo,Nuevo,4,0,0,1,afilador de cuchillos
MCO488639882,MCO,Juego De Cubiertos Swisshome X 24und En Acero Inoxidable,152980,,COP,100,5,buy_it_now,gold_pro,2038-10-09T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-488639882-juego-de-cubiertos-swisshome-x-24und-en-acero-inoxidable-_JM,http://http2.mlstatic.com/D_752422-MCO44733530142_012021-O.jpg,752422-MCO44733530142_012021,True,,MCO441432,,MCO-KITCHEN_SUPPLIES,,42,False,,,,,,359711517,,,False,False,,MCO488639882,"[{'id': '3', 'type': 'standard', 'amount': 152980, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-10T03:22:07Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,12748.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Martires,,,3,SwisHome,Nuevo,5,0,1,1,DORADO
MCO595371569,MCO,Juego De Cubiertos Home Elements ,58900,,COP,1,5,buy_it_now,gold_pro,2040-11-14T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-595371569-juego-de-cubiertos-home-elements-_JM,http://http2.mlstatic.com/D_917590-MCO44126304973_112020-O.jpg,917590-MCO44126304973_112020,True,,MCO441433,,MCO-FLATWARE_SETS,,41,False,,,,,,72694044,,,False,False,,MCO595371569,"[{'id': '158c5d14-d881-4f5e-83bc-e56e61b8062a', 'type': 'standard', 'amount': 58900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-11-19T22:54:08Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,4908.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RFVTY1OTk1,Teusaquillo,True,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Teusaquillo,,,4,Home Elements,Nuevo,6,1,1,1,HQ29B
