id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO601145357,MCO,Mug Pocillo De Cerámica Personalizados De 11 Onzas,10500,,COP,50,250,buy_it_now,gold_special,2041-01-05T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-601145357-mug-pocillo-de-ceramica-personalizados-de-11-onzas-_JM,http://http2.mlstatic.com/D_636056-MCO44541824103_012021-I.jpg,636056-MCO44541824103_012021,True,,MCO166167,,MCO-MUGS,,50,True,,,,,,166137471,,,False,False,,MCO601145357,"[{'id': '6', 'type': 'standard', 'amount': 10500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-05T16:18:51Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,291.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,3,Nuevo,Personalizado,5,0,1,1
MCO596364544,MCO,Vaso Taza Pocillo Batidor Mezclador Eléctrico Mug Cafe Self,49900,,COP,50,5,buy_it_now,gold_special,2040-11-25T13:30:48.000Z,new,https://articulo.mercadolibre.com.co/MCO-596364544-vaso-taza-pocillo-batidor-mezclador-electrico-mug-cafe-self-_JM,http://http2.mlstatic.com/D_743699-MCO48976877156_012022-O.jpg,743699-MCO48976877156_012022,True,,MCO166167,,MCO-MUGS,,49,False,,,,,,43305026,,,False,False,,MCO596364544,"[{'id': '8', 'type': 'standard', 'amount': 49900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-14T03:13:52Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1386.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,['self_service_out'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,4,Nuevo,Mug,4,0,0,1
MCO601137595,MCO,Mug Mágico Arte Pintura Noche Estrellada Van Gogh Taza,20805,,COP,500,25,buy_it_now,gold_pro,2041-01-06T02:33:48.000Z,new,https://articulo.mercadolibre.com.co/MCO-601137595-mug-magico-arte-pintura-noche-estrellada-van-gogh-taza-_JM,http://http2.mlstatic.com/D_969516-MCO44541485936_012021-I.jpg,969516-MCO44541485936_012021,True,21900,MCO166167,,MCO-MUGS,,48,True,,,,,,291088293,,,False,False,,MCO601137595,"[{'id': '3', 'type': 'standard', 'amount': 21900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-06T01:50:09Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '7', 'type': 'promotion', 'amount': 20805, 'regular_amount': 21900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:12:18Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1733.75,0,COP,CO-DC,Bogotá D.C.,TUNPQ1JBRjkyNTA2,Rafael Uribe Uribe,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Rafael Uribe Uribe,,,4,Nuevo,Noche estrellada,4,0,0,1
MCO610507171,MCO,Mug Magico Slytherin Casa Harry Potter,21900,,COP,1,5,buy_it_now,gold_special,2041-02-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-610507171-mug-magico-slytherin-casa-harry-potter-_JM,http://http2.mlstatic.com/D_627250-MCO47739266835_102021-O.jpg,627250-MCO47739266835_102021,True,,MCO166167,,MCO-MUGS,,47,False,,,,,,522583524,,,False,False,,MCO610507171,"[{'id': '1', 'type': 'standard', 'amount': 21900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-03-04T16:40:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,608.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,4,Nuevo,MAGICO,6,1,1,1
MCO595344866,MCO,Mug Pocillo Magico Rick Sanchez Rick And Morty,20805,,COP,500,25,buy_it_now,gold_pro,2040-11-14T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-595344866-mug-pocillo-magico-rick-sanchez-rick-and-morty-_JM,http://http2.mlstatic.com/D_969125-MCO47645226344_092021-O.jpg,969125-MCO47645226344_092021,True,21900,MCO166167,,MCO-MUGS,,46,False,,,,,,291088293,,,False,False,,MCO595344866,"[{'id': '7', 'type': 'standard', 'amount': 21900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-25T14:14:58Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '21', 'type': 'promotion', 'amount': 20805, 'regular_amount': 21900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:12:30Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1733.75,0,COP,CO-DC,Bogotá D.C.,TUNPQ1JBRjkyNTA2,Rafael Uribe Uribe,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Rafael Uribe Uribe,,,4,Nuevo,Rick And Morty Rick Sanchez,4,0,0,1
MCO509850300,MCO,Mug De Darth Vader - Star Wars,35150,,COP,1,100,buy_it_now,gold_pro,2039-04-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-509850300-mug-de-darth-vader-star-wars-_JM,http://http2.mlstatic.com/D_681065-MCO48489095262_122021-I.jpg,681065-MCO48489095262_122021,True,37000,MCO166167,,MCO-MUGS,,45,True,,,,,,95679031,,,False,False,,MCO509850300,"[{'id': '1', 'type': 'standard', 'amount': 37000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-05T00:43:32Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '85', 'type': 'promotion', 'amount': 35150, 'regular_amount': 37000, 'currency_id': 'COP', 'last_updated': '2022-01-31T17:46:59Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,2929.17,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Engativá,,,4,Nuevo,Mug Darth Vader,4,0,0,1
MCO822927552,MCO,Mug  Super Heroes  Vaso Ceramica Pocillo Geek Detalle Regalo,44990,,COP,150,5,buy_it_now,gold_special,2041-10-14T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-822927552-mug-super-heroes-vaso-ceramica-pocillo-geek-detalle-regalo-_JM,http://http2.mlstatic.com/D_895656-MCO47940024938_102021-O.jpg,895656-MCO47940024938_102021,True,,MCO166167,,MCO-MUGS,,44,False,,,,,,2257768,,,False,False,,MCO822927552,"[{'id': '1', 'type': 'standard', 'amount': 44990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-20T01:35:13Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1249.72,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,4,Nuevo,Vaso Mug Super Heroes,5,0,1,1
MCO600882045,MCO,"Mug Coffee Cup, Diferentes Diseños-eco-fibra De Bambú 350 Ml",22000,,COP,1,25,buy_it_now,gold_pro,2041-01-03T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-600882045-mug-coffee-cup-diferentes-disenos-eco-fibra-de-bambu-350-ml-_JM,http://http2.mlstatic.com/D_762163-MCO44541533802_012021-O.jpg,762163-MCO44541533802_012021,True,,MCO166167,,MCO-MUGS,,43,False,,,,,,478038662,,,False,False,,MCO600882045,"[{'id': '12', 'type': 'standard', 'amount': 22000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-02T15:24:46Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '11', 'type': 'promotion', 'amount': 19950, 'regular_amount': 21000, 'currency_id': 'COP', 'last_updated': '2021-10-20T13:20:22Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-10-20T05:00:00Z', 'end_time': '2021-10-27T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '856747-MCO600882045', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],12,1833.33,0,COP,CO-ANT,Antioquia,TUNPQ0VOVjU5YjYx,Envigado,False,me2,[],drop_off,False,,,,,Colombia,Antioquia,Envigado,,,4,Nuevo,COFFEE CUP,5,0,1,1
MCO602587911,MCO,Mug Mágico Taza Harry Styles Cantante Regalo Colección,20805,,COP,500,25,buy_it_now,gold_pro,2041-01-13T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-602587911-mug-magico-taza-harry-styles-cantante-regalo-coleccion-_JM,http://http2.mlstatic.com/D_642719-MCO44633365009_012021-I.jpg,642719-MCO44633365009_012021,True,21900,MCO166167,,MCO-MUGS,,42,True,,,,,,291088293,,,False,False,,MCO602587911,"[{'id': '9', 'type': 'standard', 'amount': 21900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-06T01:52:17Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '11', 'type': 'promotion', 'amount': 20805, 'regular_amount': 21900, 'currency_id': 'COP', 'last_updated': '2022-02-17T01:12:58Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],12,1733.75,0,COP,CO-DC,Bogotá D.C.,TUNPQ1JBRjkyNTA2,Rafael Uribe Uribe,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Rafael Uribe Uribe,,,4,Nuevo,Harry Styles,4,0,0,1
MCO595836278,MCO,Mug Pocillo Tik Tok Perzonalizable,18900,,COP,1,5,buy_it_now,gold_pro,2040-11-19T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-595836278-mug-pocillo-tik-tok-perzonalizable-_JM,http://http2.mlstatic.com/D_876867-MCO44165166419_112020-I.jpg,876867-MCO44165166419_112020,True,,MCO166167,,MCO-MUGS,,41,True,,,,,,291088293,,,False,False,,MCO595836278,"[{'id': '3', 'type': 'standard', 'amount': 18900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-16T16:10:50Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,1575.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ1JBRjkyNTA2,Rafael Uribe Uribe,False,me2,[],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Rafael Uribe Uribe,,,4,Nuevo,TIK TOK,4,0,0,1
