id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,ITEM_CONDITION,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture,MODEL,BRAND
MCO568026035,MCO,Planta Artificial Decorativa 65 A 70 Cms Alto 3 Estilos ,75900,,COP,1,5,buy_it_now,gold_special,2040-06-20T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-568026035-planta-artificial-decorativa-65-a-70-cms-alto-3-estilos-_JM,http://http2.mlstatic.com/D_750862-MCO46276282663_062021-I.jpg,750862-MCO46276282663_062021,True,,MCO378397,,MCO-ARTIFICIAL_PLANTS,,50,True,,,,,,467179804,,,False,False,,MCO568026035,"[{'id': '1', 'type': 'standard', 'amount': 75900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-16T05:27:14Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,2108.33,0,COP,CO-RIS,Risaralda,TUNPQ0RPU2E2OGE1,Dosquebradas,True,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Risaralda,Dosquebradas,,,2,Nuevo,6,1,1,1,,
MCO605376211,MCO,Pájaros X6 Decorativo Aves Centros Mesa Eventos Fiestas Flor,24900,,COP,1,5,buy_it_now,gold_special,2041-01-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-605376211-pajaros-x6-decorativo-aves-centros-mesa-eventos-fiestas-flor-_JM,http://http2.mlstatic.com/D_830922-MCO44775950767_022021-I.jpg,830922-MCO44775950767_022021,True,,MCO164719,,MCO-VASES,,49,True,,,,,,432789495,,,False,False,,MCO605376211,"[{'id': '1', 'type': 'standard', 'amount': 24900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-02-01T21:31:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,691.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,2,Nuevo,6,1,1,1,6 pajaros,
MCO593475392,MCO,Flores Miniatura Flores Artificiales Decoracion 130-4 Mazugi,15900,,COP,1,25,buy_it_now,gold_special,2040-11-01T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-593475392-flores-miniatura-flores-artificiales-decoracion-130-4-mazugi-_JM,http://http2.mlstatic.com/D_652666-MCO46127323493_052021-I.jpg,652666-MCO46127323493_052021,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,48,True,,,,,,616071841,,,False,False,,MCO593475392,"[{'id': '1', 'type': 'standard', 'amount': 15900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-22T20:10:59Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,441.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Martires,,,5,Nuevo,6,1,1,1,,Genérica
MCO552841947,MCO,Yitsu Rosas Matas Rosas Flores Artificial Decoración 119-27,7000,,COP,1,25,buy_it_now,gold_special,2040-02-08T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-552841947-yitsu-rosas-matas-rosas-flores-artificial-decoracion-119-27-_JM,http://http2.mlstatic.com/D_795792-MCO45114034466_032021-I.jpg,795792-MCO45114034466_032021,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,47,True,,,,,,432789495,,,False,False,,MCO552841947,"[{'id': '6e19eeab-0864-4d5e-a13b-c42e9f8b03b3', 'type': 'standard', 'amount': 7000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2020-10-06T10:32:59Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,194.44,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,2,Nuevo,5,0,1,1,,
MCO563927977,MCO,Malla Cerca Expansible Decora Hogar Y Vitrinas 2x1.20 Mts.,79900,,COP,1,5,buy_it_now,gold_special,2040-05-21T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-563927977-malla-cerca-expansible-decora-hogar-y-vitrinas-2x120-mts-_JM,http://http2.mlstatic.com/D_892292-MCO45274582678_032021-I.jpg,892292-MCO45274582678_032021,True,,MCO378397,,MCO-ARTIFICIAL_PLANTS,,46,True,,,,,,238771023,,,False,False,,MCO563927977,"[{'id': '3', 'type': 'standard', 'amount': 79900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-05-21T16:29:30Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,2219.44,0,COP,CO-RIS,Risaralda,TUNPQ0RPU2E2OGE1,Dosquebradas,True,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",drop_off,False,,,,,Colombia,Risaralda,Dosquebradas,,,2,Nuevo,5,0,1,1,,
MCO801341608,MCO,Enredadera 1 Paquete X 12und De240 Cm Hoja Mata Fina Grande ,63900,,COP,1,5,buy_it_now,gold_special,2041-08-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-801341608-enredadera-1-paquete-x-12und-de240-cm-hoja-mata-fina-grande-_JM,http://http2.mlstatic.com/D_630297-MCO47297226186_082021-I.jpg,630297-MCO47297226186_082021,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,45,True,,,,,,432789495,,,False,False,,MCO801341608,"[{'id': '1', 'type': 'standard', 'amount': 63900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-30T20:12:54Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1775.0,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,5,Nuevo,5,0,1,1,,Mazugi
MCO568300650,MCO,Manzanas Artificiales ,7000,,COP,1,50,buy_it_now,gold_special,2041-09-25T13:30:45.000Z,new,https://articulo.mercadolibre.com.co/MCO-568300650-manzanas-artificiales-_JM,http://http2.mlstatic.com/D_678928-MCO42375866964_062020-I.jpg,678928-MCO42375866964_062020,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,44,True,,,,,,234481558,,,False,False,,MCO568300650,"[{'id': '1', 'type': 'standard', 'amount': 7000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-30T13:30:36Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,194.44,0,COP,CO-CUN,Cundinamarca,TUNPQ1NPUGRhMDI5,Sopó,False,me2,[],xd_drop_off,False,,,,,Colombia,Cundinamarca,Sopó,,,4,Nuevo,5,0,1,1,,Manzana artificiales
MCO802162210,MCO,Enredadera Flor 1 Helecho 250cm Hoja Mata Rosas A121-84,15900,,COP,1,5,buy_it_now,gold_special,2041-08-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-802162210-enredadera-flor-1-helecho-250cm-hoja-mata-rosas-a121-84-_JM,http://http2.mlstatic.com/D_710338-MCO47326131649_092021-I.jpg,710338-MCO47326131649_092021,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,43,True,,,,,,432789495,,,False,False,,MCO802162210,"[{'id': '1', 'type': 'standard', 'amount': 15900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-01T18:50:22Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,441.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,5,Nuevo,5,0,1,1,,Mazugi
MCO615542738,MCO,Esfera Follaje Sintetica 20 Cm Decorativo Ref B22,11500,,COP,1,25,buy_it_now,gold_pro,2041-04-02T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-615542738-esfera-follaje-sintetica-20-cm-decorativo-ref-b22-_JM,http://http2.mlstatic.com/D_669599-MCO45484803982_042021-I.jpg,669599-MCO45484803982_042021,True,,MCO378397,,MCO-ARTIFICIAL_PLANTS,,42,True,,,,,,453113430,,,False,False,,MCO615542738,"[{'id': '11', 'type': 'standard', 'amount': 11500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-20T20:05:20Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,958.33,0,COP,CO-SAN,Santander,TUNPQ0JVQzkzMTE4,Bucaramanga,False,me2,[],drop_off,False,,,,,Colombia,Santander,Bucaramanga,,,2,Nuevo,4,0,0,1,,
MCO581722307,MCO,Rosas Matas Flores Artificiales Decoración Eventos Adorno ,21900,,COP,1,5,buy_it_now,gold_special,2040-09-04T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-581722307-rosas-matas-flores-artificiales-decoracion-eventos-adorno-_JM,http://http2.mlstatic.com/D_616820-MCO48966569651_012022-I.jpg,616820-MCO48966569651_012022,True,,MCO180730,,MCO-ARTIFICIAL_FLOWERS,,41,True,,,,,,432789495,,,False,False,,MCO581722307,"[{'id': '1', 'type': 'standard', 'amount': 21900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-22T20:02:48Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,608.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,5,Nuevo,5,0,1,1,,mazugi
