id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO458175681,MCO,Sofacama Carvallo 3 Posiciones Clic Clac Tipo Cuero Negro,949000,,COP,1,500,buy_it_now,gold_special,2041-09-18T14:45:08.000Z,new,https://articulo.mercadolibre.com.co/MCO-458175681-sofacama-carvallo-3-posiciones-clic-clac-tipo-cuero-negro-_JM,http://http2.mlstatic.com/D_960355-MCO32985052729_112019-I.jpg,960355-MCO32985052729_112019,True,1770000,MCO7159,487,MCO-SOFAS,,50,True,,,,,,279063223,,,False,False,,MCO458175681,"[{'id': '52', 'type': 'standard', 'amount': 1770000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-23T14:15:00Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '58', 'type': 'promotion', 'amount': 949000, 'regular_amount': 1770000, 'currency_id': 'COP', 'last_updated': '2022-01-11T16:26:12Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,26361.11,0,COP,CO-ANT,Antioquia,TUNPQ0JFTDg0Y2E,Bello,False,me1,['optional_me1_chosen'],default,False,,,,,Colombia,Antioquia,Bello,,,4,Muebles Online,Nuevo,SC10080,6,1,1,1
MCO551495862,MCO,"Tp-link, Cámara Ip Wifi Robótica, Full Hd / Audio, Tapo C200",179901,,COP,50,500,buy_it_now,gold_special,2040-01-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-551495862-tp-link-camara-ip-wifi-robotica-full-hd-audio-tapo-c200-_JM,http://http2.mlstatic.com/D_823775-MCO44221232681_122020-I.jpg,823775-MCO44221232681_122020,True,179901,MCO5844,140,MCO-SURVEILLANCE_CAMERAS,MCO15567959,49,True,,,,,,206275228,,,False,False,,MCO551495862,"[{'id': '38', 'type': 'standard', 'amount': 239900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-04T18:47:47Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '39', 'type': 'promotion', 'amount': 172900, 'regular_amount': 239900, 'currency_id': 'COP', 'last_updated': '2022-02-04T22:01:30Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-04T16:00:00Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4033002', 'promotion_id': 'MCO551495862-b588ba99-34f5-4707-ac70-682a51e8ce04', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 7001, 'campaign_discount_percentage': 27.93, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 179901}}]",{'display_currency': 'COP'},[],[],[],36,4997.25,0,COP,CO-DC,Bogotá D.C.,TUNPQ1RFVTY1OTk1,Teusaquillo,True,me2,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Teusaquillo,,,5,TP-Link,Nuevo,Tapo C200 V1,7,1,1,1
MCO605540163,MCO,Escritorio Trix Con Estantes Y Gaveta Color Niebla Blanco,299900,,COP,1,100,buy_it_now,gold_special,2041-01-29T19:59:36.000Z,new,https://articulo.mercadolibre.com.co/MCO-605540163-escritorio-trix-con-estantes-y-gaveta-color-niebla-blanco-_JM,http://http2.mlstatic.com/D_969122-MCO47081302596_082021-I.jpg,969122-MCO47081302596_082021,True,429900,MCO177112,172,MCO-HOME_OFFICE_DESKS,,48,True,,,,,,212983796,,,False,False,,MCO605540163,"[{'id': '20', 'type': 'standard', 'amount': 349900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-07T19:15:32Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '25', 'type': 'promotion', 'amount': 299900, 'regular_amount': 429900, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:02:09Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,8330.56,0,COP,CO-VAC,Valle Del Cauca,TUNPQ1lVTTE2MGZm,Yumbo,True,me2,['mandatory_free_shipping'],drop_off,False,,,,,Colombia,Valle Del Cauca,Yumbo,,,3,Maderkit,Nuevo,M01646EB-NIBL,6,0,1,1
MCO570836871,MCO,Cortinas Modernas Finas Decoracion Hogar De Lujo,47990,,COP,5000,500,buy_it_now,gold_pro,2040-07-09T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-570836871-cortinas-modernas-finas-decoracion-hogar-de-lujo-_JM,http://http2.mlstatic.com/D_929553-MCO43797436129_102020-O.jpg,929553-MCO43797436129_102020,True,,MCO116391,,MCO-INDOOR_CURTAINS_AND_BLINDS,,47,False,,,,,,489433186,,,False,False,,MCO570836871,"[{'id': '5', 'type': 'standard', 'amount': 47990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-08-31T14:54:38Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,3999.17,0,COP,CO-ANT,Antioquia,TUNPQ0JFTDg0Y2E,Bello,False,me2,[],cross_docking,False,,,,,Colombia,Antioquia,Bello,,,5,CORTINAS DE LUJO,Nuevo,2 CUERPOS,6,1,1,1
MCO601971568,MCO,Tela Para Tapizar Muebles Anti Gatos Y Antirrasguños,36900,,COP,5000,500,buy_it_now,gold_pro,2041-01-10T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-601971568-tela-para-tapizar-muebles-anti-gatos-y-antirrasgunos-_JM,http://http2.mlstatic.com/D_831922-MCO47725102015_102021-I.jpg,831922-MCO47725102015_102021,True,,MCO7159,,MCO-SOFAS,,46,True,,,,,,278331988,,,False,False,,MCO601971568,"[{'id': '5', 'type': 'standard', 'amount': 36900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-17T14:11:44Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,3075.0,0,COP,CO-BOY,Boyaca,TUNPQ1NPR2NjZjNj,Sogamoso,False,custom,[],custom,False,,,,,Colombia,Boyaca,Sogamoso,,,4,ANTIRRASGUÑOS,Nuevo,Antirrasguños,6,1,1,1
MCO603016318,MCO,Organizador Colgante Para Zapatos 9 Pares,17900,,COP,1,250,buy_it_now,gold_special,2041-01-15T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-603016318-organizador-colgante-para-zapatos-9-pares-_JM,http://http2.mlstatic.com/D_663308-MCO44656088672_012021-I.jpg,663308-MCO44656088672_012021,True,,MCO419500,,MCO-SHOE_RACKS,,45,True,,,,,,207789702,,,False,False,,MCO603016318,"[{'id': '1', 'type': 'standard', 'amount': 17900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-01-21T00:09:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '11', 'type': 'promotion', 'amount': 17005, 'regular_amount': 17900, 'currency_id': 'COP', 'last_updated': '2022-01-12T19:42:59Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-13T23:00:00Z', 'end_time': '2022-01-14T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1460679-MCO603016318', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,497.22,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,2,,Nuevo,9 pares,5,0,1,1
MCO589871746,MCO,Dispensador Automático Recargable Para Agua De Botellón,49900,,COP,50,500,buy_it_now,gold_special,2040-10-12T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-589871746-dispensador-automatico-recargable-para-agua-de-botellon-_JM,http://http2.mlstatic.com/D_656198-MCO44549314852_012021-I.jpg,656198-MCO44549314852_012021,True,,MCO436299,,MCO-KITCHEN_SUPPLIES,,44,True,,,,,,61678362,,,False,False,,MCO589871746,"[{'id': '4', 'type': 'standard', 'amount': 49900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-13T12:14:29Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1386.11,0,COP,CO-DC,Bogotá D.C.,TUNPQ01BUjU5NzU1,Martires,False,me2,['self_service_in'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Martires,,,3,,Nuevo,,6,1,1,1
MCO606776495,MCO,Tela Para Tapizar Muebles Tipo Lona Antifluidos,24000,,COP,5000,500,buy_it_now,gold_pro,2041-02-05T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-606776495-tela-para-tapizar-muebles-tipo-lona-antifluidos-_JM,http://http2.mlstatic.com/D_746746-MCO45538773693_042021-I.jpg,746746-MCO45538773693_042021,True,,MCO7159,,MCO-SOFAS,,43,True,,,,,,278331988,,,False,False,,MCO606776495,"[{'id': '3', 'type': 'standard', 'amount': 24000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-17T14:12:09Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,2000.0,0,COP,CO-BOY,Boyaca,TUNPQ1NPR2NjZjNj,Sogamoso,False,not_specified,[],not_specified,False,,,,,Colombia,Boyaca,Sogamoso,,,2,,Nuevo,,5,0,1,1
MCO520531470,MCO,Bombillo Vintage Pera Tipo Edison 5w Filamento Led ,8499,,COP,1,500,buy_it_now,gold_pro,2039-06-23T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-520531470-bombillo-vintage-pera-tipo-edison-5w-filamento-led-_JM,http://http2.mlstatic.com/D_983934-MCO43228284903_082020-O.jpg,983934-MCO43228284903_082020,True,,MCO167808,,MCO-LIGHT_BULBS,,42,False,,,,,,97637240,,,False,False,,MCO520531470,"[{'id': '5', 'type': 'standard', 'amount': 8499, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-16T19:22:17Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,708.25,0,COP,CO-CUN,Cundinamarca,TUNPQ1RFTmU2Mzdh,Tenjo,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Tenjo,,,4,Mercury,Nuevo,2019,6,1,0,1
MCO568367826,MCO,Griferia Lavaplatos Cabeza Extraible Doble Chorro-satinada ,219900,,COP,1,500,buy_it_now,gold_special,2040-06-23T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-568367826-griferia-lavaplatos-cabeza-extraible-doble-chorro-satinada-_JM,http://http2.mlstatic.com/D_835723-MCO48610736765_122021-O.jpg,835723-MCO48610736765_122021,True,,MCO177118,,MCO-KITCHEN_FAUCETS,,41,False,,,,,,82947860,,,False,False,,MCO568367826,"[{'id': '24', 'type': 'standard', 'amount': 219900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-11T16:00:52Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '109', 'type': 'promotion', 'amount': 186915, 'regular_amount': 219900, 'currency_id': 'COP', 'last_updated': '2022-02-11T03:10:46Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-10T05:00:00Z', 'end_time': '2022-02-17T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1600843-MCO568367826', 'promotion_type': 'custom'}}, {'id': '110', 'type': 'promotion', 'amount': 180318, 'regular_amount': 219900, 'currency_id': 'COP', 'last_updated': '2022-02-11T03:10:46Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-11T23:00:00Z', 'end_time': '2022-02-12T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1600696-MCO568367826', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,6108.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,3,Propia,Nuevo,GRFEXTRCH,6,1,1,1
MCO654621474,MCO,Zapatero Organizador Ajustable Ahorra Espacio Set X 40 Unds,142405,,COP,50,200,buy_it_now,gold_special,2041-09-09T18:09:58.000Z,new,https://articulo.mercadolibre.com.co/MCO-654621474-zapatero-organizador-ajustable-ahorra-espacio-set-x-40-unds-_JM,http://http2.mlstatic.com/D_822727-MCO47039348653_082021-I.jpg,822727-MCO47039348653_082021,True,149900,MCO419500,,MCO-SHOE_RACKS,,40,True,,,,,,553859191,,,False,False,,MCO654621474,"[{'id': '60', 'type': 'standard', 'amount': 149900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-25T20:34:09Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '70', 'type': 'promotion', 'amount': 142405, 'regular_amount': 149900, 'currency_id': 'COP', 'last_updated': '2022-02-16T17:14:38Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-19T13:30:00Z', 'end_time': '2023-01-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO3990', 'promotion_id': 'MCO3990', 'promotion_type': 'campaign'}}, {'id': '71', 'type': 'promotion', 'amount': 142405, 'regular_amount': 149900, 'currency_id': 'COP', 'last_updated': '2022-02-16T17:14:38Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-20T17:00:00Z', 'end_time': '2022-02-20T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1631583-MCO654621474', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],36,3955.69,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjg4OTk3,San Cristobal Sur,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,False,,,,,Colombia,Bogotá D.C.,San Cristobal Sur,,,2,,Nuevo,ajustable,5,0,1,1
MCO466491298,MCO,Sensor Detector De Humo Alarma + Batería 9v Conexión 110v,23500,,COP,250,500,buy_it_now,gold_pro,2041-01-27T19:59:13.000Z,new,https://articulo.mercadolibre.com.co/MCO-466491298-sensor-detector-de-humo-alarma-bateria-9v-conexion-110v-_JM,http://http2.mlstatic.com/D_831258-MCO31005372830_062019-I.jpg,831258-MCO31005372830_062019,True,,MCO177810,,MCO-ALARMS_AND_SENSORS,,39,True,,,,,,150949104,,,False,False,,MCO466491298,"[{'id': '11', 'type': 'standard', 'amount': 23500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-03T00:38:03Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,1958.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NBTjkyOTU1,Santa Fe,False,me2,"['fulfillment', 'self_service_out']",fulfillment,False,,,,,Colombia,Bogotá D.C.,Santa Fe,,,6,Cristal,Nuevo,Humo 9v,6,1,0,1
MCO598239774,MCO,Dispensador De Jabón Líquido Metálico 500 Ml Triple Clean,44500,,COP,50,500,buy_it_now,gold_pro,2041-02-21T05:01:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-598239774-dispensador-de-jabon-liquido-metalico-500-ml-triple-clean-_JM,http://http2.mlstatic.com/D_796492-MCO44320302734_122020-I.jpg,796492-MCO44320302734_122020,True,,MCO175793,,MCO-SOAP_AND_DETERGENT_DISPENSERS,,37,True,,,,,,394624141,,,False,False,,MCO598239774,"[{'id': '11', 'type': 'standard', 'amount': 44500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-03T03:08:57Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '16', 'type': 'promotion', 'amount': 40050, 'regular_amount': 44500, 'currency_id': 'COP', 'last_updated': '2022-02-14T00:27:18Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-17T23:00:00Z', 'end_time': '2022-02-18T05:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1612245-MCO598239774', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,3708.33,0,COP,CO-CUN,Cundinamarca,TUNPQ0NISTk4OWIx,Chía,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Chía,,,5,Triple Clean,Nuevo,DJ50,7,1,1,1
MCO458313585,MCO,Silla Puff Pera + Obsequios  - Talla Xl - Lona Hr,139900,,COP,500,500,buy_it_now,gold_pro,2041-04-26T00:18:36.000Z,new,https://articulo.mercadolibre.com.co/MCO-458313585-silla-puff-pera-obsequios-talla-xl-lona-hr-_JM,http://http2.mlstatic.com/D_865912-MCO31424690873_072019-O.jpg,865912-MCO31424690873_072019,True,,MCO166342,,MCO-POUFS,,36,False,,,,,,35510659,,,False,False,,MCO458313585,"[{'id': '18', 'type': 'standard', 'amount': 139900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-13T17:26:49Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,11658.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,True,me2,['mandatory_free_shipping'],cross_docking,False,,,,,Colombia,Bogotá D.C.,Suba,,,4,EstiloRelax,Nuevo,Classic,5,0,1,1
MCO596781588,MCO,Puff Pera O Silla Gamer Xl Lona Envio Gratis,169450,,COP,500,250,buy_it_now,gold_special,2040-11-27T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-596781588-puff-pera-o-silla-gamer-xl-lona-envio-gratis-_JM,http://http2.mlstatic.com/D_776809-MCO31006472694_062019-I.jpg,776809-MCO31006472694_062019,True,,MCO166342,,MCO-POUFS,,34,True,,,,,,240102726,,,False,False,,MCO596781588,"[{'id': '4', 'type': 'standard', 'amount': 169450, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-16T04:23:52Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '9', 'type': 'promotion', 'amount': 160977, 'regular_amount': 169450, 'currency_id': 'COP', 'last_updated': '2021-10-08T14:02:56Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-10-15T05:00:00Z', 'end_time': '2021-10-16T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '759636-MCO596781588', 'promotion_type': 'deal_of_the_day'}}]",{'display_currency': 'COP'},[],[],[],36,4706.94,0,COP,CO-DC,Bogotá D.C.,TUNPQ1NVQjUzNzQ4,Suba,False,custom,[],custom,False,,,,,Colombia,Bogotá D.C.,Suba,,,4,BINY MARTIN,Nuevo,Gamer XL,3,0,0,1
MCO453499896,MCO,Cuna Tipo Colecho  Moises Para Bebé Fabricamos,459900,,COP,50,500,buy_it_now,gold_pro,2037-09-08T13:12:13.000Z,new,https://articulo.mercadolibre.com.co/MCO-453499896-cuna-tipo-colecho-moises-para-bebe-fabricamos-_JM,http://http2.mlstatic.com/D_798207-MCO43236743268_082020-I.jpg,798207-MCO43236743268_082020,True,,MCO420323,,MCO-BABY_CRIBS_AND_BASSINETS,,33,True,,,,,,213446114,,,False,False,,MCO453499896,"[{'id': '3', 'type': 'standard', 'amount': 459900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-03T16:37:50Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '5', 'type': 'standard', 'amount': 449900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-03T16:38:45Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],12,38325.0,0,COP,CO-ANT,Antioquia,TUNPQ01FRGRjNjc4,Medellín,True,me2,['mandatory_free_shipping'],xd_drop_off,False,,,,,Colombia,Antioquia,Medellín,,,5,@Mobiliariobebes,Nuevo,Colecho,6,0,0,1
MCO611822337,MCO,"Protector Sofa, Forro, Mueble, Doble Faz 2 Puestos",69900,,COP,100,500,buy_it_now,gold_special,2041-04-18T01:09:53.000Z,new,https://articulo.mercadolibre.com.co/MCO-611822337-protector-sofa-forro-mueble-doble-faz-2-puestos-_JM,http://http2.mlstatic.com/D_677927-MCO48737082701_012022-I.jpg,677927-MCO48737082701_012022,True,,MCO177583,,MCO-SOFA_AND_FUTON_COVERS,,32,True,,,,,,80303354,,,False,False,,MCO611822337,"[{'id': '135', 'type': 'standard', 'amount': 69900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-13T16:16:19Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",{'display_currency': 'COP'},[],[],[],36,1941.67,0,COP,CO-DC,Bogotá D.C.,TUNPQ1BVRTg0NTU0,Puente Aranda,True,me2,['self_service_in'],xd_drop_off,False,,,,,Colombia,Bogotá D.C.,Puente Aranda,,,3,Dini decoración infantil,Nuevo,Protector forro sofa,5,1,0,1
MCO598236438,MCO,Dispensador De Jabón Líquido Y Gel Triple Clean 250 Ml,12500,,COP,100,500,buy_it_now,gold_pro,2041-07-31T22:00:06.000Z,new,https://articulo.mercadolibre.com.co/MCO-598236438-dispensador-de-jabon-liquido-y-gel-triple-clean-250-ml-_JM,http://http2.mlstatic.com/D_756871-MCO44319623360_122020-I.jpg,756871-MCO44319623360_122020,True,,MCO175793,,MCO-SOAP_AND_DETERGENT_DISPENSERS,,30,True,,,,,,394624141,,,False,False,,MCO598236438,"[{'id': '22', 'type': 'standard', 'amount': 12500, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-05T16:57:54Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '25', 'type': 'promotion', 'amount': 11875, 'regular_amount': 12500, 'currency_id': 'COP', 'last_updated': '2022-02-14T00:27:07Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-17T17:00:00Z', 'end_time': '2022-02-17T23:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1612313-MCO598236438', 'promotion_type': 'lightning'}}]",{'display_currency': 'COP'},[],[],[],12,1041.67,0,COP,CO-CUN,Cundinamarca,TUNPQ0NISTk4OWIx,Chía,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Chía,,,5,Triple Clean,Nuevo,DJ04,7,1,1,1
