id,site_id,title,price,sale_price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,condition,permalink,thumbnail,thumbnail_id,accepts_mercadopago,original_price,category_id,official_store_id,domain_id,catalog_product_id,order_backend,use_thumbnail_id,offer_score,offer_share,match_score,winner_item_id,melicoin,seller_id,seller_permalink,seller_registration_date,seller_car_dealer,seller_real_estate_agency,seller_tags,prices_id,prices_prices,prices_presentation,prices_payment_method_prices,prices_reference_prices,prices_purchase_discounts,installments_quantity,installments_amount,installments_rate,installments_currency_id,address_state_id,address_state_name,address_city_id,address_city_name,shipping_free_shipping,shipping_mode,shipping_tags,shipping_logistic_type,shipping_store_pick_up,seller_address_id,seller_address_comment,seller_address_address_line,seller_address_zip_code,seller_address_country_name,seller_address_state_name,seller_address_city_name,seller_address_latitude,seller_address_longitude,NUM_ATTRIBUTEs,BRAND,ITEM_CONDITION,MODEL,num_tags,best_seller_candidate,loyalty_discount_eligible,good_quality_picture
MCO814259745,MCO,Escritorio En L Axis Diseño Minimalista Color Castaño,337900,,COP,50,50,buy_it_now,gold_special,2041-09-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-814259745-escritorio-en-l-axis-diseno-minimalista-color-castano-_JM,http://http2.mlstatic.com/D_707221-MCO47684239858_092021-O.jpg,707221-MCO47684239858_092021,True,675900,MCO177112,1471,MCO-HOME_OFFICE_DESKS,,50,False,,,,,,686352448,,,False,False,,MCO814259745,"[{'id': '12', 'type': 'standard', 'amount': 506900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-03T23:48:21Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '48', 'type': 'promotion', 'amount': 337900, 'regular_amount': 675900, 'currency_id': 'COP', 'last_updated': '2022-02-07T23:37:54Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,9386.11,0,COP,CO-VAC,Valle Del Cauca,TUNPQ1lVTTE2MGZm,Yumbo,False,not_specified,[],not_specified,False,,,,,Colombia,Valle Del Cauca,Yumbo,,,4,RTA Desing,Nuevo,Axis,4,0,1,1
MCO462975721,MCO,Filtro Purificador Agua Ecotrade Filters 21 Litros,152990,,COP,150,500,buy_it_now,gold_special,2041-03-28T04:37:01.000Z,new,https://articulo.mercadolibre.com.co/MCO-462975721-filtro-purificador-agua-ecotrade-filters-21-litros-_JM,http://http2.mlstatic.com/D_978941-MCO31107220960_062019-I.jpg,978941-MCO31107220960_062019,True,239990,MCO436299,,MCO-KITCHEN_SUPPLIES,,49,True,,,,,,71682486,,,False,False,,MCO462975721,"[{'id': '4', 'type': 'standard', 'amount': 239990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-10-02T05:13:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '31', 'type': 'promotion', 'amount': 152990, 'regular_amount': 239990, 'currency_id': 'COP', 'last_updated': '2022-02-11T15:43:04Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}, {'id': '32', 'type': 'promotion', 'amount': 151193, 'regular_amount': 239990, 'currency_id': 'COP', 'last_updated': '2022-02-11T15:43:04Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': '2022-02-10T22:37:14Z', 'end_time': '2043-01-01T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': 'TRM-71682486-202202101837393739:MCO462975721', 'promotion_type': 'custom'}}]",{'display_currency': 'COP'},[],[],[],36,4249.72,0,COP,CO-CUN,Cundinamarca,TUNPQ0NPVGFiYzZm,Cota,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Cundinamarca,Cota,,,5,ECOTRADE FILTERS,Nuevo,H-21,6,0,1,1
MCO599739747,MCO,Biblioteca Pequeña Eco Wengue ,169900,,COP,50,100,buy_it_now,gold_special,2041-08-14T15:21:22.000Z,new,https://articulo.mercadolibre.com.co/MCO-599739747-biblioteca-pequena-eco-wengue-_JM,http://http2.mlstatic.com/D_674783-MCO44439034748_122020-O.jpg,674783-MCO44439034748_122020,True,339900,MCO177111,1471,MCO-BOOKCASES,,48,False,,,,,,686352448,,,False,False,,MCO599739747,"[{'id': '19', 'type': 'standard', 'amount': 214900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-04-07T22:13:12Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '75', 'type': 'promotion', 'amount': 169900, 'regular_amount': 339900, 'currency_id': 'COP', 'last_updated': '2022-02-07T23:37:40Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,4719.44,0,COP,CO-VAC,Valle Del Cauca,TUNPQ1lVTTE2MGZm,Yumbo,False,not_specified,[],not_specified,False,,,,,Colombia,Valle Del Cauca,Yumbo,,,4,RTA DESING,Nuevo,BLW 921,5,1,1,1
MCO616629103,MCO,Panel Led Embutir Incrustar Redondo Luz Blanca 3w Certifica,5874,,COP,1,200,buy_it_now,gold_pro,2041-04-08T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-616629103-panel-led-embutir-incrustar-redondo-luz-blanca-3w-certifica-_JM,http://http2.mlstatic.com/D_959479-MCO42755164920_072020-O.jpg,959479-MCO42755164920_072020,True,6600,MCO167812,,MCO-WALL_AND_CEILING_LIGHTS,,47,False,,,,,,561794412,,,False,False,,MCO616629103,"[{'id': '42', 'type': 'standard', 'amount': 6600, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-09-14T16:58:30Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '92', 'type': 'promotion', 'amount': 5610, 'regular_amount': 6600, 'currency_id': 'COP', 'last_updated': '2022-02-06T17:35:39Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-02T18:49:57Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4166001', 'promotion_id': 'MCO616629103-06918060-99c7-4c2d-8d03-0b1435be7fd9', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 264, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 5874}}]",{'display_currency': 'COP'},[],[],[],12,489.5,0,COP,CO-CUN,Cundinamarca,TUNPQ1RPQzc5Y2E0,Tocancipá,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Tocancipá,,,5,Panel 3w Incrustar,Nuevo,Luz Blanca,5,0,0,1
MCO830720220,MCO,"Escritorio Axis, Café Claro",339900,,COP,100,50,buy_it_now,gold_special,2041-11-05T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-830720220-escritorio-axis-cafe-claro-_JM,http://http2.mlstatic.com/D_971108-MCO48186728033_112021-O.jpg,971108-MCO48186728033_112021,True,679900,MCO177112,1471,MCO-HOME_OFFICE_DESKS,,46,False,,,,,,686352448,,,False,False,,MCO830720220,"[{'id': '1', 'type': 'standard', 'amount': 400900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-11-10T20:47:26Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '22', 'type': 'promotion', 'amount': 339900, 'regular_amount': 679900, 'currency_id': 'COP', 'last_updated': '2022-02-07T23:37:54Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,9441.67,0,COP,CO-VAC,Valle Del Cauca,TUNPQ1lVTTE2MGZm,Yumbo,False,not_specified,[],not_specified,False,,,,,Colombia,Valle Del Cauca,Yumbo,,,3,RTA Design,Nuevo,ELD 7629,5,1,1,1
MCO595417382,MCO,Panel Led 18w Redondo Sobreponer Luz Calida Certificado,16019,,COP,1,250,buy_it_now,gold_pro,2040-11-15T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-595417382-panel-led-18w-redondo-sobreponer-luz-calida-certificado-_JM,http://http2.mlstatic.com/D_771660-MCO46965538440_082021-O.jpg,771660-MCO46965538440_082021,True,16019,MCO167812,,MCO-WALL_AND_CEILING_LIGHTS,,45,False,,,,,,561794412,,,False,False,,MCO595417382,"[{'id': '108', 'type': 'standard', 'amount': 17999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-13T18:35:53Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '137', 'type': 'promotion', 'amount': 15299, 'regular_amount': 17999, 'currency_id': 'COP', 'last_updated': '2022-02-07T05:01:02Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-02T17:38:48Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4166001', 'promotion_id': 'MCO595417382-6b8bac68-1dda-4fc5-bb98-72812d4f1dde', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 720, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 16019}}]",{'display_currency': 'COP'},[],[],[],12,1334.92,0,COP,CO-CUN,Cundinamarca,TUNPQ1RPQzc5Y2E0,Tocancipá,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Tocancipá,,,5,Panel Sobreponer 18w,Nuevo,Luz CALIDA,7,1,1,1
MCO637247818,MCO,Escritorio Gamer Bolonia - Negro/verde,316990,,COP,50,25,buy_it_now,gold_special,2041-06-13T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-637247818-escritorio-gamer-bolonia-negroverde-_JM,http://http2.mlstatic.com/D_915796-MCO46442109079_062021-O.jpg,915796-MCO46442109079_062021,True,646990,MCO177112,1627,MCO-HOME_OFFICE_DESKS,,44,False,,,,,,772310874,,,False,False,,MCO637247818,"[{'id': '2', 'type': 'standard', 'amount': 505990, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-06-30T21:49:03Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '98', 'type': 'promotion', 'amount': 316990, 'regular_amount': 646990, 'currency_id': 'COP', 'last_updated': '2022-02-09T12:19:49Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,8805.28,0,COP,CO-DC,Bogotá D.C.,TUNPQ1VTQTY3MTQ1,Usaquén,False,custom,[],custom,False,,,,,Colombia,Bogotá D.C.,Usaquén,,,5,MUEBLES 2020,Nuevo,Bolonia,5,1,1,1
MCO610482133,MCO,Escritorio Con Cajones Ibare Wengue,258900,,COP,1,50,buy_it_now,gold_special,2041-08-14T15:21:09.000Z,new,https://articulo.mercadolibre.com.co/MCO-610482133-escritorio-con-cajones-ibare-wengue-_JM,http://http2.mlstatic.com/D_940956-MCO45089322315_032021-O.jpg,940956-MCO45089322315_032021,True,517900,MCO177112,1471,MCO-HOME_OFFICE_DESKS,,43,False,,,,,,686352448,,,False,False,,MCO610482133,"[{'id': '67', 'type': 'standard', 'amount': 347900, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2021-12-03T12:53:27Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '78', 'type': 'promotion', 'amount': 258900, 'regular_amount': 517900, 'currency_id': 'COP', 'last_updated': '2022-02-07T23:37:58Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-01-05T04:30:00Z', 'end_time': '2024-01-01T04:59:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MCO2298', 'promotion_id': 'MCO2298', 'promotion_type': 'campaign'}}]",{'display_currency': 'COP'},[],[],[],36,7191.67,0,COP,CO-VAC,Valle Del Cauca,TUNPQ1lVTTE2MGZm,Yumbo,False,not_specified,[],not_specified,False,,,,,Colombia,Valle Del Cauca,Yumbo,,,4,RTA DESING,Nuevo,ELW 3317,4,0,1,1
MCO616832189,MCO,Panel Led 18w Embutir Incrustar Cuadrado 22x22cm Luz Blanca ,16019,,COP,1,250,buy_it_now,gold_pro,2041-04-09T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-616832189-panel-led-18w-embutir-incrustar-cuadrado-22x22cm-luz-blanca-_JM,http://http2.mlstatic.com/D_621641-MCO46977609518_082021-O.jpg,621641-MCO46977609518_082021,True,16019,MCO167812,,MCO-WALL_AND_CEILING_LIGHTS,,42,False,,,,,,561794412,,,False,False,,MCO616832189,"[{'id': '109', 'type': 'standard', 'amount': 17999, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-01-13T18:33:48Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '131', 'type': 'promotion', 'amount': 15299, 'regular_amount': 17999, 'currency_id': 'COP', 'last_updated': '2022-02-02T17:40:32Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-07T05:00:00Z', 'end_time': '2022-02-08T04:59:59Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'promotion_id': '1546043-MCO616832189', 'promotion_type': 'deal_of_the_day'}}, {'id': '132', 'type': 'promotion', 'amount': 15299, 'regular_amount': 17999, 'currency_id': 'COP', 'last_updated': '2022-02-02T17:40:32Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-02T17:38:56Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4166001', 'promotion_id': 'MCO616832189-4d562dcf-7a9f-4d0c-a99a-bd6757dbbf5a', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 720, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 16019}}]",{'display_currency': 'COP'},[],[],[],12,1334.92,0,COP,CO-CUN,Cundinamarca,TUNPQ1RPQzc5Y2E0,Tocancipá,False,me2,['fulfillment'],fulfillment,False,,,,,Colombia,Cundinamarca,Tocancipá,,,5,Panel 18w Incrustar Certificado,Nuevo,Luz Blanca,7,1,1,1
MCO569244999,MCO,Escritorio Gamer Deluxe En Acero Y Aluminio Con Luces Rgb,832600,,COP,150,25,buy_it_now,gold_pro,2040-06-30T04:00:00.000Z,new,https://articulo.mercadolibre.com.co/MCO-569244999-escritorio-gamer-deluxe-en-acero-y-aluminio-con-luces-rgb-_JM,http://http2.mlstatic.com/D_612509-MCO42500374153_072020-O.jpg,612509-MCO42500374153_072020,True,920000,MCO177112,1568,MCO-HOME_OFFICE_DESKS,,41,False,,,,,,149423072,,,False,False,,MCO569244999,"[{'id': '13', 'type': 'standard', 'amount': 920000, 'regular_amount': None, 'currency_id': 'COP', 'last_updated': '2022-02-01T19:31:02Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '14', 'type': 'promotion', 'amount': 782000, 'regular_amount': 920000, 'currency_id': 'COP', 'last_updated': '2022-02-05T13:56:49Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-05T13:55:49Z', 'end_time': '2022-03-01T04:00:00Z', 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'P-MCO4166001', 'promotion_id': 'MCO569244999-100a47a0-bfb9-42b6-9164-abba08a914f3', 'promotion_type': 'marketplace_campaign', 'discount_meli_amount': 50600, 'campaign_discount_percentage': 15, 'campaign_end_date': '2022-03-01T04:00:00Z', 'order_item_price': 832600}}]",{'display_currency': 'COP'},[],[],[],12,69383.33,0,COP,CO-DC,Bogotá D.C.,TUNPQ0VORzkzMTUz,Engativá,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,False,,,,,Colombia,Bogotá D.C.,Engativá,,,4,Ergonomus,Nuevo,10-6010,4,0,0,1
